Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Units Net,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,newtaz,Total GSF (Commercial),MIPS,CIE,MED,PDR,RET,VISIT,Net GSF (Commercial),CIENET,MEDNET,MIPSNET,PDRNET,RETNET,VISITNET,CASENO,BPAPPLNO,Planning Filed,DBI Filed,HEIGHTLIMIT,ZONING,FirstFiled,Longitude,Latitude,AFFORDABLE,AFFORDABLENET
492025,2026 LOMBARD ST,Marina,BP ISSUED,4/11/07,0,0,"The proposed project involves the demolition of an 8,630 gsf, two-story (over grade parking) 30-room motel and construction of a 49,001gsf, 4-story hotel containing 97 rooms.",ERECT A NEW 4 STORY 89 UNIT TOURIST HOTEL W/ GARAGE,Mixed Use,NC-3,819,"40,370",0,0,0,0,0,"40,370","40,370",0,0,0,0,0,"40,370",2002.0497,200606023107,6/11/02,6/2/06,40-X,NC-3,11-Jun-02,-122.43494,37.800127,,
7060019,184 MAJESTIC AV,"Ingleside, Other",BP REINSTATED,1/25/08,1,1,The proposal is to construct a single-family dwelling on a vacant lot.,ERECT A THREE STORY SINGLE FAMILY DWELLLING,Residential,RH-1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004.0361,200207242259,,7/24/02,40-X,RH-1,24-Jul-02,-122.453004,37.715856,,
2719047,1399 CLAYTON ST,Central,BP ISSUED,2/21/06,2,2,"2 Lot Subdivision; Construction of two 4,000-square foot, single-family homes, each 3 stories over basement 2-car garage.",ERECT A THREE STORY SINGLE FAMILY DWELLING (HOUSE B),Residential,RH-2,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006.0791,200208053133,8/8/06,8/5/02,40-X,RH-2,5-Aug-02,-122.446068,37.758672,,
41019,7 VANDEWATER ST,Northeast,BP APPROVED,10/28/04,12,12,"The proposed project would involve the demolition of a light industrial and residential/commercial building and construction of a 12,000 sq. ft., four-story, 12-unit residential condominium building over 840 sq. ft. of ground-floor retail and 3,700 sq. ft",,Mixed Use,NCD,833,840,0,0,0,0,840,0,-280,0,0,0,"-1,120",840,0,2002.0928,,9/18/02,,40-X,NO BEACH,18-Sep-02,-122.412082,37.805206,,
2676030,580 OAK PARK DR,Inner Sunset,BP ISSUED,11/28/07,1,1,"Construct a new single-family dwelling on a vacant parcel in an RH-1(D) (Residential, House, One-Family, Detached) District and a 40-X Height and Bulk District.","ERECT 3 STORIES, 1 DWELLING UNIT WITH 1 BASEMENT BLDG.",Residential,RH-1(D),545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003.0741,200212042761,,12/4/02,40-X,RH-1(D),4-Dec-02,-122.460196,37.756322,,
3615026,2525 MISSION ST,Mission,BP ISSUED,8/26/09,0,0,"The project is to demolish the existing single-story retail building and construct a new building that would be three-stories tall and would contain retail on the ground floor and offices on the second and third floors.
6/15/05 - Environmental Exemption",ERECT A 3 STORY COMMERCIAL SHOP & OFFICE,Mixed Use,NCT,176,"4,999","4,999",0,0,0,0,0,"4,999",0,0,"4,999",0,0,0,2003.0159,200302218059,2/13/03,2/21/03,65-B,Mission St NCT,13-Feb-03,-122.418695,37.756561,,
6517013,958 CAPP ST,Mission,BP ISSUED,3/4/05,2,2,Rear yard variance to demolish rear portion of 4-unit bldg and construct 2-unit bldg in rear yard.,ERECT 3 STORY 2 UNIT RESIDENTIAL BLDG-(REAR BLDG),Residential,RTO-M,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003.0309,200312313239,3/20/03,12/31/03,50-X,RTO-Mission,20-Mar-03,-122.417423,37.751396,,
6942039,244 GRANADA AV,"Ingleside, Other",BP ISSUED,10/9/08,2,1,"Demolish a one-family dwelling and construct a new two-family dwelling in an RH-2 (Residential, House, Two-Family) District and a 40-X Height and Bulk District.",ERECT 3 STORY TWO UNIT DWELLING.,Residential,RH-2,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003.0374,200701051057,3/25/03,1/5/07,40-X,RH-2,25-Mar-03,-122.45699,37.722873,,
3519067,346 09TH ST,WSoMa,BP APPROVED,5/27/04,58,58,"Shadow Study Prop.K
Constructing a Commercial/Residential mix use structure w/ 52 SRO units, 6 DU's & 4125 SF commercial tenant space, after demolishing an existing building.  5/25/05 - Environmental Evaluation filed.",TYPE -3/1-HR COML WITH 5 UNITS RESIDENTIAL,Industrial,SLR,597,"4,125",0,0,0,0,"4,125",0,"4,125",0,0,0,0,"4,125",0,2003.1194,200306207345,5/25/05,6/20/03,50-X,SLR,20-Jun-03,-122.411033,37.773177,,
1266018,282 CARL ST,Inner Sunset,BP ISSUED,4/30/04,3,1,,CONVERT 1ST FLR COMMON SPACE TO 3RD UNIT BY ADDING KITCHEN & BATH; ADDT'L PARKING PROVIDED BY REMOVI,Residential,RH-3,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200308051249,,8/5/03,40-X,RH-3,5-Aug-03,-122.454037,37.765392,,
5618020,152 ELSIE ST,Bernal Heights,BP REINSTATED,2/20/09,1,1,the project proposes the new construction of a single family residence without the required two parking spaces.,ERECT A TWO STORY SINGLE FAMILY DWELING,Residential,RH-1,116,0,,,,,,,0,,,,,,,2007.1215,200310066599,10/18/07,10/6/03,40-X,RH-1,6-Oct-03,-122.418345,37.742132,,
2402018,2478 24TH AV,Outer Sunset,BP ISSUED,7/19/04,1,1,,HORIZONTAL AND VERTICAL ADDITIONS,Residential,RH-1,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200310308971,,10/30/03,40-X,RH-1,30-Oct-03,-122.480809,37.741445,,
297005,524 POST ST,Downtown,BP APPROVED,5/6/04,0,,Request for determination of compliance and an exception  pursuant to Section 309 of the Code for roof top additions to accomodate reorganization of program spaces within the existing Olympic Club building.  Relocated handball courts will be located in ex,,Commercial,C-3-G,736,"23,375",0,0,0,0,"23,375",0,"23,375",0,0,0,0,"23,375",0,2003.1184,,11/5/03,,80-130-F,C-3-G,5-Nov-03,-122.410554,37.788126,,
7016023,652 LAKEVIEW AV,"Ingleside, Other",BP APPROVED,8/7/09,1,1,,ERECT A THREE STORY SINGLE FAMILY DWELLING,Residential,RH-1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200311240936,,11/24/03,40-X,RH-1,24-Nov-03,-122.457838,37.7184,,
6022014,395 ATHENS ST,"South Central, Other",BP ISSUED,9/28/09,2,2,,ERECT A FOUR STORY TWO UNIT RESIDENTIAL BLDG,Residential,RH-2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200312243005,,12/24/03,40-X,RH-2,24-Dec-03,-122.428118,37.721789,,
4645002B,818 INNES AV,India Basin,BP REINSTATED,11/6/07,3,3,"The project is the new construction of a mixed use building with 3 residential units over 2,000 square feet of office use, with 3 parking spaces.", ERECT A FOUR STORY THREE UNIT RESIDENTIAL BLDG WITH COML,Mixed Use,NC-2,446,"2,000","2,000",,,,,,"2,000",,,"2,000",,,,2007.0573,200401274976,5/14/07,1/27/04,40-X,NC-2,27-Jan-04,-122.374414,37.731417,,
5942028,215 MADISON ST,"South Central, Other",BP ISSUED,4/13/05,1,0,,ERECT A TWO STORY SINGLE FAMILY DWELLING,Residential,RH-1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200402186667,,2/18/04,40-X,RH-1,18-Feb-04,-122.422564,37.726367,,
1648017,2900 FULTON ST,Richmond,BP ISSUED,7/2/09,3,3,To alter the existing ground level and to add three stories with four new dwelling units to the existing one-story commercial structure in an NC-1 district.,REDUCE SIZE OF (E)COMM'L SPACE & ADD 3 STORIES 3 UNITS RESIDENTIAL CONDO WITH GARAGE,Mixed Use,NC-1,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.1093,200402247019,,2/24/04,40-X,NC-1,24-Feb-04,-122.462821,37.773817,,
4645018,860 INNES AV,India Basin,BP APPROVED,11/3/08,4,4,"Construct a vertical addition to accommodate three DUs, convert ground floor to a three-car garage, and change ground floor use from business to retail in an NC-2 (Small-Scale Neighborhood Commercial) District and a 40-X Height and Bulk District.","ADD 2 NEW FLOORS TO (E) STRUCTURE.RECONFIGURE (E)SPACE W/NEW ADDED SPACE TO CREATE 1 COMM'L SPACE,",Mixed Use,NC-2,446,0,0,0,0,0,0,0,"-2,560",0,0,0,"-2,560",0,0,2004.1311,200402267273,,2/26/04,40-X,NC-2,26-Feb-04,-122.375385,37.731973,,
3589023,179 SAN CARLOS ST,Mission,BP ISSUED,6/4/08,3,3,New construction of 3-unit residential building.,ERECT A FIVE STORY THREE UNIT RESIDENTIAL BLDG,Residential,RTO-M,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004.0487,200403310134,5/20/04,3/31/04,50-X,RTO-Mission,31-Mar-04,-122.419809,37.760621,,
11007,2800 LEAVENWORTH ST,Northeast,BP APPROVED,11/18/04,0,,"Conversion of +/- 32,600 gsf of retail & office space (+/- 30,900 gsf retail & 1,700 gsf office) to use as a new hotel w/ +/- 50 rooms",,Commercial,C-2,851,"32,600",0,0,0,0,0,"32,600",0,0,0,"-1,700",0,"-30,900","32,600",2004.0347,,4/14/04,,40-X,C-2,14-Apr-04,-122.418782,37.807028,,
599008,1840 WASHINGTON ST,Marina,BP ISSUED,8/29/08,26,26,Demolition of a one-story with mezzanine warehouse and construction of eight-story residential building with 29 dwelling units and 35 off-street parking spaces.  ,"TO ERECT 7 STORIES, 26 DWELLING UNITS OF CONDOMINIUMS.",Mixed Use,RC-4,342,0,0,0,0,0,0,0,"-7,000",0,0,0,"-7,000",0,0,2004.022,200604149027,5/26/04,4/14/06,80-D,RC-4,26-May-04,-122.423601,37.793108,,
6561021,4381 26TH ST,Central,BP APPROVED,3/3/05,1,1,Construction of new single-family dwelling ,,Residential,RH-1,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004.0517,,5/27/04,,40-X,RH-1,27-May-04,-122.437584,37.747723,,
4846018,1351 YOSEMITE AV,"BVHP Area A,B",BP ISSUED,5/23/08,0,0,,ERECT A NEW 2 STORY CONTRACTOR'S WAREHOUSE & OFFICE,Industrial,PDR-2,892,"7,500","1,000",0,0,"6,500",0,0,"7,500",0,0,"1,000","6,500",0,0,,200405285091,,5/28/04,40-X,PDR-2,28-May-04,-122.387592,37.724347,,
3582023,4038 18TH ST,Central,BP ISSUED,4/12/05,3,1,,"PLACE NEW HALLWAY FOR 2ND EXIT. NEW STAIRS (EXTERIOR, WOOD)",Residential,RH-3,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200407017814,,7/1/04,40-X,RH-3,1-Jul-04,-122.433561,37.761102,,
3747012,325 FREMONT ST,Rincon Hill,BP ISSUED,8/5/09,70,70,CU to amend previous approval to rearrange the interior space to create more units.  VZ to reduce the required parking spaces from 70 to 51.  No change to buildig envelope.,REVISION TO APPROVED SITE PERMIT#9913300/S-R4. SCOPE OF REVISED WORK INCLUDES ADDTION OF 18 UNITS,Hi Density Res,RH DTR,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004.0636,200507208180,7/8/04,7/20/05,85/250-R,RH DTR,8-Jul-04,-122.393033,37.787693,,
1517007A,567 27TH AV,Richmond,BP REINSTATED,3/1/07,2,1,,HORIZONTAL & VERTICAL ADDITION FROM 1 DWELLING TO 2,Residential,RH-2,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200407158967,,7/15/04,40-X,RH-2,15-Jul-04,-122.486966,37.778737,,
7108054,55 FARALLONES ST,"Ingleside, Other",BP APPROVED,11/29/04,0,,portable building forexpansion of Adult Day Care facility,,Residential,RH-1,28,"9,600",0,"9,600",0,0,0,0,"9,600","9,600",0,0,0,0,0,2004.066,,7/15/04,,40-X,RH-1/RH-2,15-Jul-04,-122.45428,37.713975,,
2706035,1310 STANYAN ST,Central,BP APPROVED,2/9/09,1,1,"The proposal is to construct a new three story, single-family dwelling on a VACANT lot on an undeveloped portion of Stanyan Street in an RH-1 (D) District.",ERECT A TWO STORY SINGLE FAMILY DWELLING,Residential,RH-1(D),180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004.1167,200407158977,,7/15/04,40-X,RH-1(D),15-Jul-04,-122.451352,37.758762,,
2695023,163 COLLINGWOOD ST,Central,BP APPROVED,11/3/05,3,2,"New construction of a four-story, three unit residential building in conjuction with the demolition of a single-family dwelling.",,Residential,RH-3,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004.0783,,8/5/04,,40-X,RH-3,5-Aug-04,-122.435845,37.759881,,
5868007,55 TRUMBULL ST,"South Central, Other",BP ISSUED,8/20/09,18,18,"Construction of a 18 unit residential building on a vacant lot, conditional use for lot area under Section 121.1",ERECT 3 STORIES 18 DWELLING UNITS BUILDING,Residential,RH-1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004.0895,200612139733,9/2/04,12/13/06,40-X,NC-2,2-Sep-04,-122.428379,37.73077,,
7380011,50 Thomas More Way,"Ingleside, Other",BP APPROVED,10/28/04,0,,"The proposal is to construct a third story, including a meetng room to a previously approved two-story classroom building under 2004.0306C.",,Residential,RH-1(D),402,"3,800",0,"3,800",0,0,0,0,"3,800","3,800",0,0,0,0,0,2004.0962,,9/27/04,,40-X,RH-1(D),27-Sep-04,-122.473175,37.712284,,
2330005E,2243 19TH AV,Outer Sunset,BP ISSUED,7/3/08,1,1,,"VERTICAL & HORIZONTAL ADDITION- ONE STORY OVER EXISTING 2 STORY BLDG. HALF BATHRM. STORAGE RM, BEDRM",Residential,RH-2,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200411098885,,11/9/04,40-X,RH-2,9-Nov-04,-122.476036,37.745933,,
1822034,2609 JUDAH ST,Outer Sunset,BP APPROVED,7/5/06,10,10,conditional use authorization for parking exemption in NC district.  Would provide 4 spaces for 10 DU but create 3 new on street spaces.,,Mixed Use,NC-2,198,"1,200",0,0,0,0,"1,200",0,"1,200",0,0,0,0,"1,200",0,2004.1145,,11/10/04,,40-X,NC-2,10-Nov-04,-122.490034,37.760998,,
6201028,187 TIOGA AV,"South Central, Other",BP REINSTATED,2/8/07,1,1,,ERECT A 3 STORIES 1 FAMILY DWELLING,Residential,RH-1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200412131315,,12/13/04,40-X,RH-1,13-Dec-04,-122.407338,37.716918,,
4019002,550 ALABAMA ST,Mission,BP ISSUED,5/29/07,0,0,Variance for parking.  Addition of third floor and mezzanine over existing two-story building for use as light industrial (apparel manufacturing).,ADDITION OF 3RD FLOOR OVER (E) 2 STORY BLDG. ADDITION OF NEW MEZZ OVER NEW 3RD FLOOR. FULL SEISMIC,Industrial,PDR-1-G,538,"5,650",0,0,0,"5,650",0,0,"5,650",0,0,0,"5,650",0,0,2005.0108,200412272194,,12/27/04,50-X,PDR-1-G,27-Dec-04,-122.412253,37.762264,,
7521002,5290 DIAMOND HEIGHTS BL,Central,BP APPROVED,4/21/05,0,,"Change of use from Rite Aid to Walgreens and enlarge the existing nonconforming use size by 810 square-feet to a total of 8,910 square-feet.",,Mixed Use,NC-S,457,810,0,0,0,0,810,0,810,0,0,0,0,810,0,2004.1346,,12/30/04,,40-X,NC-S,30-Dec-04,-122.438146,37.74363,,
0026019B,869 NORTH POINT ST,Northeast,BP ISSUED,11/30/06,3,3,Staff-Initiated D.R. to require design changes to comply with the Residential Design Guidelines,"ERECT A THREE STORY, THREE FAMILIES DWELLING UNITS",Residential,RH-3,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.0902,200501243842,10/5/05,1/24/05,40-X,RH-3,24-Jan-05,-122.421396,37.805454,,
6190033,81 ERVINE ST,"South Central, Other",BP APPROVED,1/25/08,2,2,CU for lot subdivsion to create 2 substandard lots w/o min. lot width and area.,"TO ERECT 2 STORIES, SINGLE FAMILY RESIDENCE.",Residential,RH-1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.0094,200505172628,1/27/05,5/17/05,40-X,RH-1,27-Jan-05,-122.409077,37.716195,,
4645017,870 INNES AV,India Basin,BP REINSTATED,2/5/08,3,3,,REMODEL EXTG COMMERCIAL BLD TO CREATE 3 NEW CONDOMINIUM WITH 1 COMMERCIAL SPACE/CONCRETE 1ST LEVEL,Mixed Use,NC-2,446,0,0,0,0,0,0,0,"-2,560",0,0,0,"-2,560",0,0,,200501314403,,1/31/05,40-X,NC-2,31-Jan-05,-122.375928,37.732279,,
343014,181 TURK ST,Downtown,BP REINSTATED,3/10/09,32,32,"Build 32 dwellings, ground floor commercial space and 8 off-street parking spaces on site authorized as vacant, but used as parking lot.","ERECT 4 STORY RESIDENTIAL, RETAIL & PARKING BUILDING",Mixed Use,RC-4,296,"3,060",0,0,0,0,"3,060",0,"3,060",0,0,0,0,"3,060",0,2005.0267,200608230323,3/16/05,8/23/06,80-120-T,RC-4,16-Mar-05,-122.411966,37.78292,,
1844048,413 JUDAH ST,Inner Sunset,BP APPROVED,12/1/05,0,,161.j Eliminate existing parking and create new retail space.,,Mixed Use,NCD,203,"1,012",0,0,0,0,"1,012",0,"1,012",0,0,0,0,"1,012",0,2005.0281,,3/17/05,,40-X,INNER SUNSET,17-Mar-05,-122.466395,37.762041,,
3600110,222 CUMBERLAND ST,Central,BP APPROVED,11/21/07,1,1,,ERECT 3 STORIES 1 DWELLING UNIT,Residential,RM-1,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200503298601,,3/29/05,40-X,RM-1,29-Mar-05,-122.428747,37.759003,,
4143008,948 HAMPSHIRE ST,Mission,BP ISSUED,3/12/09,2,1,,VERTICAL ADDITION WITH STUDIO APT. ON GROUNDFLOOR,Residential,RH-2,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200503298688,,3/29/05,40-X,RH-2,29-Mar-05,-122.40785,37.756913,,
2129002B,2 QUINTARA ST,Inner Sunset,BP ISSUED,6/5/08,1,1,To construct a new single-family dwelling on a vacant legal lot of record located in the interior portion of the block in an RH-1 district.,"TO ERECT 3 STORIES, 1 DWELLING SINGLE FAMILY.",Residential,RH-1,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.1044,200504079360,12/28/06,4/7/05,40-X,RH-1,7-Apr-05,-122.465958,37.749105,,
2607099,399 BUENA VISTA EAST AV,Buena Vista,BP APPROVED,7/14/05,0,,Construction of sunroom and deck at rear of existing building.,,Residential,RH-2,562,"15,720",0,"15,720",0,0,0,0,"15,720","15,720",0,0,0,0,0,2005.0463,,5/12/05,,80-E,RH-2,12-May-05,-122.440669,37.766755,,
2979A019,69 WEST PORTAL AV,Inner Sunset,BP APPROVED,9/8/05,0,,"To enlarge an existing full-service restaurant from 1,385 square feet to 1,950 by expanding into the adjacent commercial space on the adjacent lot.  Existing restaurant was permitted as a conditional use therefore a new CU is required for the proposed exp",,Mixed Use,NCD,109,"3,900",0,0,0,0,"1,950",0,"1,950",0,0,0,0,"1,950",0,2005.0485,,5/19/05,,26-X,WEST PORTAL,19-May-05,-122.46643,37.740026,,
1453033,346 22ND AV,Richmond,BP REINSTATED,12/1/06,1,1,,2 FAMILY RESIDENCES ADDITION & REMODELING,Residential,RM-1,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200505273609,,5/27/05,40-X,RM-1,27-May-05,-122.481432,37.781273,,
4096005,746 CAROLINA ST,Showpl/Potrero,BP ISSUED,5/12/08,2,2,"Front setback variance to construct a new two family dwelling unit on a vacant lot. Building would be three-story over garage, totaling 5,838 sq. ft. ",TO ERECTA NEW 3 STORY 2 DWELLING UNIT,Residential,RH-2,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.0613,200506074411,6/23/05,6/7/05,40-X,RH-2,7-Jun-05,-122.400236,37.759037,,
4162012,758 ARKANSAS ST,Showpl/Potrero,BP REINSTATED,6/28/07,2,1,,NEW FOUNDATIONS ADD 3RD & 4TH FLOOR. ADD NEW RESIDENTAIL UNIT.,Residential,RH-2,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,200506286196,,6/28/05,40-X,RH-2,28-Jun-05,-122.398059,37.756481,,
5475007,6534 03RD ST,"BVHP Area A,B",BP ISSUED,5/3/07,2,2,"Construction of  a new three-story, two-unit residential building with a two-car garage. A front yard variance is sought.","ERECT 3 STORIES, 2 DWELLING UNITS BUILDING.",Residential,RM-1,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.0858,200507066945,,7/6/05,40-X,RM-1,6-Jul-05,-122.397354,37.719316,,
3613018B,2986 22ND ST,Mission,BP APPROVED,12/31/08,3,2,"Construct  two stories vertical  and  four stories  horizontal addition to the rear of  the existing two-story, single-family house. The  proposal would also add two dwelling units and an underground parking garage.  A rear yard variance is sought for the","ALTERATION OF (E) 1ST AND 2ND FLOORS, CONSTRUCTION OF 3RD & 4TH FLOOR, BASEMENT, ADDING TWO ADDT'L",Mixed Use,NC-3,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.1059,200507147539,,7/14/05,40-X,RH-3,14-Jul-05,-122.414062,37.755873,,
1052023,2420 SUTTER ST,Western Addition,BP ISSUED,5/6/08,58,58,"Demolition of an existing medical office building and construction of six-story building with 48 assisted living units, 7,100 GSF of medical office use, and 48 off-street parking spaces.  ","TO DEMOLISH 3 STORIES OFFICE BUILDING.(200703307722)
TO ERECT 6 STORIES, 58 DWELLING UNITS OF ASSISTED LIVING WITH OFFICE.",Mixed Use,NC-3,715,"7,100","7,100",0,0,0,0,0,"-1,900",0,0,"-1,900",0,0,0,2004.0745,200703307721,8/3/05,3/30/07,65-A,NC-3,3-Aug-05,-122.440337,37.785324,,
619012,1860 VAN NESS AV,Northeast,BP ISSUED,11/17/08,35,35,"The proposed project is demolition of a gas station on a 8,960-gsf site at the corner of Van Ness Avenue and Washington Street and construction of a 8-story 58,065-gsf residential mixed-use structure with 35 dwelling units, and 35 parking spaces in two su","TO ERECT 7 STORIES, 35 DWELLING UNITS OF RESIDENTIAL & RETAIL STORE.",Mixed Use,RC-4,343,"1,625",0,0,0,0,"1,625",0,"1,625",0,0,0,0,"1,625",0,2004.089,200602215057,8/9/05,2/21/06,80-D,RC-4,9-Aug-05,-122.422633,37.792726,,
3591024,793 SOUTH VAN NESS AV,Mission,BP APPROVED,8/4/09,22,22,"Demolition of an existing gas station and construction of a five-story mixed-use building with 22 dwelling units, 7,795 GSF of ground floor retail use, and 49 off street parking spaces.   ","TO ERECT 5 STORIES, 29 UNITS OF RESIDENTIAL, COMMERCIAL & RETAIL BUILDING.",Mixed Use,NC-3,537,0,"-1,966",0,0,0,"1,966",0,"5,829",0,0,0,0,"5,829",0,2004.0914,200602104391,8/18/05,2/10/06,50-X,NC-3,18-Aug-05,-122.416911,37.760617,,
3775172,181 SOUTH PARK ST,East SoMa,BP ISSUED,3/19/07,8,2,"Conversion of 2nd floor office space to two dwelling units with less than the required square footage of private usable open space, and  no rear yard .  Open space and Rear yard variances are being sought.",PERMIT APPLICATION IS FOR,Industrial,SLI,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.0862,200608028296,9/1/05,8/2/06,40-X,SPD,1-Sep-05,-122.394743,37.780815,,
