Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,building_type_id,Units,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,TAZ,Total GSF (Commercial),Office,"Cult, Inst, Educ",Medical,"Prod, Dist, Rep","Ret, Ent",Visitor,Planning ID,DBI Permit,Planning Filed,DBI Filed,HEIGHTLIMIT,ZONING,FirstFiled,Longitude,Latitude,ObjectID,LANDUSE,EntitlementStatus,sort,ACTION_SEQ,Net Added Units,Net Added SF,"Net Cult, Inst, Educ",Net Medical,Net Office,"Net Prod, Dist, Rep","Net Ret, Ent",Net Visitor,TempSelect,SiteArea,BLOCK,LOT,PARKING,PARKINGNET,SUPDIST,Sponsor Firm,Sponsor Name,CONTACTPHONE,FULLNAME,CONTACTCITY,CONTACTADD
41039,377 Bay St,Northeast,BP Filed,17-Dec-07,9,2,"Variance from parking requirements to allow the addition of two stories with four dwelling units to an existing one-story commercial building, with no parking to be provided. ",Remodel (E) restaurant #1 at ground floor and  convert (E) restaurant #2 space to two car garage. Ad,Commercial,C-2,833,2251,,,,,2251,,2008.121,200712170659,20-Oct-08,17-Dec-07,40-X,C-2,17-Dec-07,-122.413093,37.805557,75,Mixres,-1,BP Filed,13,2,-500,,,,,-500,,,2750,41,39,,2,3,Dickson Consulting Group,John Lau,415 831-7180,John Lau 415 831-7180,"San Francisco, CA  94121","3900 Geary Boulevard, Suite #201"
69011,2626 Larkin St,Northeast,CONSTRUCTION,9-Oct-12,14,2,"Construction of a new 4-story, 2-unit residential building.",TO ERECT A NEW FOUR STORY TWO FAMILY DWELLING UNIT.,Residential,RH-3,849,0,,,,,,,2009.0907,200809262740,28-Sep-09,26-Sep-08,40-X,RH-3,26-Sep-08,-122.421117,37.802094,94,Resident,-1,Construction,13,1,0,,,,,,,,3150,69,11,,,2,Walker and Moody Architects,Dean Martelli,885-0800,Dean Martelli 885-0800,"San Francisco, CA 94109",2666 Hyde Street
74001,701 Lombard St,Northeast,BP ISSUED,29-Mar-12,12,0,"Library Bond project combined with Park Plan.  Project includes new library on the lot at the corner of Columbus & Lombard Streets (0074/001), demolition of existing branch library, and plan for reorganization and improvements to Joe DiMaggio Playground (",ERECT 2-STORY PUBLIC BRANCH LIBRARY,Mixed Use,NO BEACH,381,8900,,8900,,,0,,2008.0968,201109235397,1-Sep-09,23-Sep-11,40-X,NO BEACH,1-Sep-09,-122.413076,37.802763,96,CIE,-1,BP Approved/Issued/Re-Instated,11,0,3563,3563,,,,0,,,114530,74,1,,,3,Branch Library Improvement Program,Mindy Linetsky,557-4427,Mindy Linetsky 557-4427,"San Francisco, CA 94103-2603",190 Ninth Street
77004,30 Edith St,Northeast,BP Filed,31-Dec-08,14,3,,CONVERT ONE (1) UNIT TO THREE (3) UNIT CONDOS & ADD TWO (2) NEW STORIES. REMODEL (E) BLDG INCLUDING ,Residential,RH-3,382,0,0,0,0,0,0,0,,200812319407,,31-Dec-08,40-X,RH-3,31-Dec-08,-122.408231,37.802986,101,Resident,0,BP Filed,10,2,0,0,0,0,0,0,0,,2681,77,4,,,3,,,,,,
101004,1741 Powell St,Northeast,BP Filed,12-Aug-09,9,18,"The project would renovate a gutted theater into 3,500 square feet of commercial space and 17 residential condominiums with 20 parking spaces.",PER SF PLANNING MOTION 17797 PERMITTING THE CONVERSION OF EXISTING THEATER TO MIX USE BUILDING WITH ,Mixed Use,NO BEACH,376,3525,,,,,3525,,2007.1117,200908124639,15-Dec-08,12-Aug-09,40-X,NO BEACH,15-Dec-08,-122.411045,37.800478,115,Mixres,-1,BP Filed,5,18,-11795,,,,,-11795,,111,11700,101,4,,,3,,David Pultz,415-901-7213,David Pultz 415-901-7213,"San Francisco, CA 94104","456 Montgomery Street, Ste 300"
119025,1812 Taylor St,Northeast,BP ISSUED,13-Jul-11,14,3,Add dwelling unit on ground floor with no expansion of the building,SITE PERMIT: ADD 3RD UNIT AT GROUND FLOOR ~450 SF. 3 PARKING SPACES PROVIDED IN GARAGE. MECH & PLUMB,Residential,RM-2,371,0,,,,,,,2010.0786,200709193055,8-Sep-10,19-Sep-07,40-X,RM-2,19-Sep-07,-122.413802,37.799113,129,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,111,2325,119,25,,,3,Lisa O. Wong A.I.A,Lisa O. Wong,415-621-1280,Lisa O. Wong 415-621-1280,"San Francisco, CA 94103",1213 Folsom Street
0133006A,1131 Montgomery St,Northeast,PL Approved,26-Sep-08,14,2,"The proposal is construction of a new three-story single-family house behind an existing one-story single family 850-square-foot house at 1131 Montgomery Street.  THe original foundation of the existing house would be replaced, restructured, excavated and",,Residential,RH-3,372,0,0,0,0,0,0,0,2007.0201,,23-Feb-07,,40-X,RH-3,23-Feb-07,-122.40427,37.799467,134,Resident,-1,PL Approved,5,1,0,0,0,0,0,0,0,111,5375,133,006A,,,3,Wessel Associates,Rod Wessel,285-6500,Rod Wessel 285-6500,"San Francisco, CA  94114",473 Collingwood Street
133012,414 Vallejo St,Northeast,CONSTRUCTION,28-Feb-12,14,3,RELOCATION AND UPGRADE OF EGRESS STAIRS IN REAR YARD.  UPGRADE HOUSE KEEPING UNIT INTO 3RD DWELLING UNIT,"Seismic reinforcement front and rear, partial relocation of (e) interior stairway. Construction of (",Residential,RH-3,372,0,,,,,,,2008.0221,200712281517,25-Feb-08,28-Dec-07,40-X,RH-3,28-Dec-07,-122.404869,37.799224,135,Resident,-1,Construction,13,1,0,,,,,,,111,1250,133,12,,,3,"RYNERSON OBRIEN ARCHITECTURE, INC",JACK McGUIRE,510-452-9152,JACK McGUIRE 510-452-9152,"OAKLAND, CA 94612",1512 FRANKLIN STREET
165021,235 Broadway ,Northeast,BP ISSUED,9-Aug-12,4,75,"Broadway/Sansome Family Housing: 100% affordable 50-du residential mid-rise bldg with 5,000-sf retail on former Fwy parcel, 50-70' deep lot entire south side of Broadway between Sansome and Battery Streets, replacing surface parking and portion Stevens Al",ERECT A FIVE STORY RESIDENTIAL & COMMERCIAL BUILDING,Commercial,C-2,826,5000,,,,,5000,,2008.0797,201105166063,17-Jun-10,16-May-11,65-A,C-2,17-Jun-10,-122.401464,37.79841,156,Mixres,-1,BP Approved/Issued/Re-Instated,11,75,5000,,,,,5000,,111,17990,165,21,0,-25,3,Chinatown CDC,Kim Piechota,929-0712,Kim Piechota 929-0712,"San Francisco, CA 94109",1515 Vallejo St
165022,717 Battery St,Northeast,BP Filed,1-Dec-08,10,0,"Two story penthouse addition to three-story office building, for office use, new three-story bldg of 9,000-gsf office over retail; 24,870-sf additions to historic Musto Bldg.","ALTERNATION TO EXISTING BUILD, NEW 2 STORY VERTICAL ADDITION ON THE EXISTING BUILD, 3 STORY HORIZONT",Commercial,C-2,826,59700,56700,,,,3000,,2007.146,200812017534,18-Feb-09,1-Dec-08,65-A,C-2,1-Dec-08,-122.401084,37.797868,157,MIPS,0,BP Filed,6,0,27870,,,24870,,3000,,111,16888,165,22,,,3,,Sean Murphy,415.602.8128,Sean Murphy 415.602.8128,"San Angelino, CA 94960",17 Southview Terrace
238002,300 California St,Downtown,PL Filed,12-Sep-12,10,0,Vertical addition of 4 floors of office to an existing 8 story office building.  The existing rooftop penthouse will be removed.  Existing basement parking and ground-floor retail uses would remain.  Publicly accessible open space would be provided at a r,,Commercial,C-3-O,945,177255,165843,,,,11412,,2012.0605,,12-Sep-12,,400-S,C-3-O,12-Sep-12,-122.400114,37.79333,169,MIPS,0,Planning Filed,2,0,58582,,,58582,,0,,,15097,238,2,,,3,"300 California Partners, LLC",John Prabhu,310-887-6400,John Prabhu 310-887-6400,"Beverly Hills, CA  90212","9701 Wilshire Blvd., Suite 700"
250001,1401 California St,Northeast,PL Filed,20-Oct-08,9,95,"Demolish Cala Foods and loading dock and construct 6-8-story, 95-unit residential mixed-use building, 31,000-sf retail, and 105 parking, 246,500-sf total. LEED Gold.",,Neighborhood Commercial,POLK,334,31000,,,,,31000,,2008.07,,13-Jun-08,,65-A,POLK,13-Jun-08,-122.417554,37.790856,173,Mixres,0,Planning Filed,5,95,-19056,0,0,0,0,-19056,0,,33902,250,1,,,3,Prado Group,Don Bragg,395.0880x324,Don Bragg 395.0880x324,"San Francisco, CA 94108","150 Post Street, #320"
254080,1001 California St,Northeast,BP ISSUED,12-Apr-10,4,15,,"CONVERT AND RENOVATE THE EXTG PARTIAL BASEMENT, 1ST AND 2ND FLOOR LEVEL COMMERCIAL SPACE INTO 2 RESI",Residential,RM-4,761,0,,,,,,,,200809252623,,25-Sep-08,65-A,RM-4,25-Sep-08,-122.410883,37.791748,176,Resident,-1,BP Approved/Issued/Re-Instated,11,2,0,,,,,,,111,4693,254,80,,,3,,,,,,
258033,500 Pine St,Downtown,PL APPROVED,15-Mar-01,10,0,"On a vacant 13,800-sq.-ft. site, construction of a five-story, 61-ft. high office building w/ 11,220 sq. ft. of ground floor retail, 45,610 sq. ft. of office space and one subsurface level of parking w/ 39 spaces, and under the basement parking level woul",,Commercial,C-3-O,785,56830,45610,0,0,0,11220,0,2000.539,,29-Nov-00,,300-S,C-3-O,29-Nov-00,-122.404641,37.791701,179,MIPS,-1,PL Approved,3,,56830,0,0,45610,0,11220,0,111,13851,258,33,29,10,3,Russ Building Partnership,Thomas Hart,772-7147,Thomas Hart 772-7147,S.F.  94104,"555 California St., 49th Fl."
269028,350 Bush St,Downtown,BP Filed,7-Aug-07,10,0,"Demolition of buildings, except for the Mining Exchange Bldg. at 350 Bush St., which would be converted to retail use.  Then new construction of a 19-story office bldg. w/ 20,400 sq. ft. of retail space in two galleria levels, 344,540 sq. ft. of office sp",ERECT 20 STORIES 3 BASEMENTS OFFICE BLDG.,Commercial,C-3-O,789,347300,340000,0,0,0,7300,0,2000.541,200708078938,10-Jan-01,,250-S,C-3-O,10-Jan-01,-122.403221,37.790996,191,MIPS,-1,BP Filed,3,0,347300,0,0,340000,0,7300,0,111,34541,269,26,135,135,3,Russ Building Partnership,Thomas Hart,772-7147,Thomas Hart 772-7147,S.F.  94104,"555 California St., 49th Fl."
500015,1268-1270 Lombard St,Northeast,CONSTRUCTION,15-Oct-12,4,4,"Vacant lot. New construction of 4-unit, 5-story residential building with basement.","ERECT 5 STORIES, 4 UNITS, TYPE 3, RESIDENTIAL BUILDING.",Residential,RH-3,817,0,,,,,,,2009.1029,201012227210,17-Nov-09,22-Dec-10,40-X,RH-3,17-Nov-09,-122.42234,37.801744,327,Resident,-1,Construction,13,4,0,,,,,,,,4261,500,15,4,4,2,Kerman Morris Architects,Edward Morris,415-749-0302,Edward Morris 415-749-0302,"San Francisco, CA 94133",69A Water Street
503015,2842 Franklin St,Marina,CONSTRUCTION,11-Mar-09,14,2,,CREATE NEW 2-STORY RESIDENCE ABOVE EXISTING.REMODEL EXIST RES & GARAGE.NEW REAR ADDITION&2-STORY....,Mixed Use,NC-3,378,0,0,0,0,0,0,0,,200501042534,,4-Jan-05,40-X,NC-3,4-Jan-05,-122.425978,37.800645,330,Resident,-1,Construction,13,1,0,0,0,0,0,0,0,,2744,503,15,,,2,,,,,,
510029,2157 Lombard St,Marina,BP REINSTATED,27-Aug-12,14,3,,"TO COMPLY WITH NOV#200665975 TO ESTABLISH LEGALITY OF UNITS # OF (3) TOTAL, TO ESTABLISH LEGALITY OF",Mixed Use,NC-3,815,0,,,,,,,,200705211788,,21-May-07,40-X,NC-3,21-May-07,-122.436934,37.7996,336,Resident,-1,BP Approved/Issued/Re-Instated,8,1,0,,,,,,,,2441,510,29,,,2,,,,,,
274008,850 Bush St,Northeast,BP REINSTATED,10-Apr-08,4,23,,CONSTRUCT 7 FLOORS OF RESIDENTIAL USE ABOVE EXIST. COMMERCIAL BLDG AND RECONFIGURE EXIST. GROUND FLOOR TO INCLUDE ENTIRE LOBBY COMMERCIAL AND RESIDENTIAL,Mixed Use,RC-4,333,0,0,0,0,0,0,0,,200512301345,,30-Dec-05,65-A,RC-4,30-Dec-05,-122.411288,37.789991,193,Resident,-1,BP Approved/Issued/Re-Instated,8,23,0,0,0,0,0,0,0,111,4103,274,8,,,3,,,,,,
279011,1080 Sutter St,Downtown,PL Approved,28-May-09,4,35,"The project site is current vacant and used as a 20-space parking lot. The proposed project would construct 35 dwelling units and 1,339 sq. ft. of ground floor commercial space, and 13 parking spaces. The new structure would be approximately 51,950 sq. ft",,Mixed Use,RC-4,322,1339,0,0,0,0,1339,0,2006.0431,,30-Apr-09,,130-E,RC-4,30-Apr-09,-122.418078,37.788156,195,Mixres,-1,PL Approved,5,35,1339,0,0,0,0,1339,0,,7000,279,11,13,-4361,3,"JS Sullivan Developmentt, LLC",Sean Sullivan,415.206.1578,Sean Sullivan 415.206.1578,"San Francisco, CA 94110",1699 Valencia Street
281003,832 Sutter St,Downtown,PL Filed,24-Aug-08,4,27,The proposal is to construct a mixed-use building with no parking on an existing surface parking lot.  ,,Mixed Use,RC-4,734,1176,,,,,1176,,2007.0392,,15-May-07,,80-A,RC-4,15-May-07,-122.414151,37.788653,197,Mixres,0,Planning Filed,3,27,1176,,,,,1176,,,4555,281,3,,,3,Reuben & Junius LLP,Amy Tsai,415-567-9000,Amy Tsai 415-567-9000,"San Francisco, CA  94104","1 Bush Street, Suite 600"
287013,300 Grant Ave.,Downtown,PL Approved,6-Oct-11,4,45,"Extension of entitlements for previously approved project (Case No. 2004.1245EKVX) to demolish 272 and 292 Sutter Street containing 35,600-gsf retail and construct a 12-story, 113,526-gsf residential mixed-use structure in K-M-M-S Conservation District wi",,Commercial,C-3-R,932,16000,,,,,16000,,2011.0567,,1-Jun-11,,80-130-F,C-3-R,1-Jun-11,-122.405341,37.789703,209,Mixres,-1,PL Approved,5,45,-19600,,,,,-19600,,111,10448,287,13,25,,3,Madison Marquette,Cedric Young,415-277-6840,Cedric Young 415-277-6840,"San Francisco, CA 94133","909 Montgomery Street, Suite 200"
297009,693 Sutter St,Downtown,CONSTRUCTION,17-Jul-12,4,17,,"Revision to previous approved permits, 2008/0429/0902, 2007/1224/1222, 2005/0824/1157, 2004/0917/449",Commercial,C-3-G,736,0,0,0,0,0,0,0,,200912243842,,24-Dec-09,80-130-F,C-3-G,24-Dec-09,-122.411594,37.788708,216,Resident,-1,Construction,13,1,-12178,0,0,-12178,0,0,0,,3743,297,9,,,3,,,,,,
303014,875 Post St,Downtown,BP ISSUED,20-Jul-12,4,50,9  new construction,Vacant ground floor space to be converted to 4 dwelling units on existin builidng. Work to include remodel at 2nd floor manager's apt to raise floor for headroom below. Convert tourist hotel to sro residental hotel.,Mixed Use,RC-4,707,0,,,,,,0,2007.1056,200712311569,,31-Dec-07,80-T,RC-4,31-Dec-07,-122.416104,37.787177,223,Resident,-1,BP Approved/Issued/Re-Instated,11,4,-15764,,,,,,-15764,,4770,303,14,,,6,,,,,,
317005,436 Ofarrell St,Downtown,BP Filed,5-Aug-08,4,9,Conversion of nine offices into nine residential units.  One on-site BMR unit will be provided on-site.  All work will occur within the existing building.  Conditional Use Authorization required for reduction of off-street parking requirements in NOMARSUD,CONVERTING OF NINE OFFICES TO NINE RESIDENTIAL UNITS,Mixed Use,RC-4,711,0,0,,,,,,2009.0258,200808058406,1-Apr-09,5-Aug-08,80-130-T,RC-4,5-Aug-08,-122.411993,37.786031,241,Resident,0,BP Filed,6,9,-9709,,,-9709,0,0,0,,1750,317,5,,,6,Occidental Express,Henry Karnilowicz,415-621-7533,Henry Karnilowicz 415-621-7533,"San Francisco, CA 94103",1019 Howard Street
318020,651 Geary St,Downtown,PL FILED,15-Aug-08,4,46,"Demolition of a three-story, 19,900-sf office building and construction of a 14- story, 40-unit residential building with 5,945 sf of retail and 5,945 sf of office use.  No off-street parking is proposed.  ""V"" for off-street parking ""C"" for height over 40",,Mixed Use,RC-4,711,5945,0,0,0,0,5945,0,2008.0981,,15-Aug-08,,80-130-T,RC-4,15-Aug-08,-122.413931,37.786515,243,Mixres,0,Planning Filed,9,46,-8010,0,0,-13955,0,5945,0,,7075,318,20,,,6,,Arthur Misaki,611.775.0108,Arthur Misaki 611.775.0108,Castaic,31438 Castaic Rd
323015,472 Ellis St,Downtown,CONSTRUCTION,1-Jun-12,4,151,Variances for off-street parking for zero spaces where 21 parking spaces would otherwise be required; and variance for open space for no usable open space where approx. 975 sq. ft. would otherwise be required.  Project is to convert 82 tourist hotel units,,Mixed Use,RC-4,702,0,,,,,,0,2008.0392,200811076130,2-Apr-08,,80-T,RC-4,2-Apr-08,-122.413931,37.784875,246,Resident,-1,Construction,13,60,-65926,0,0,0,0,0,-65926,,18883,323,15,,,6,Gelfand Architects,JIm Fagler,346.4040x105,JIm Fagler 346.4040x105,"San Francisco, CA ",450 Geary #100
327011,72 Ellis St,Downtown,PL Approved,25-Mar-10,6,0,"Extension of entitlements (Case Nos. 200.383CX and 2004.1047CX) for demolition of an existing surface parking lot and construction of an 11-story, 156 room hotel with ground floor retail.",,Commercial,C-3-R,750,79054,,,,,2500,76554,2009.1105,,2-Dec-09,,80-130-F,C-3-R,2-Dec-09,-122.407384,37.785691,252,Visitor,-1,PL Approved,5,,79054,,,,,2500,76554,72,8424,327,11,,,6,,Jorge Castillo,415-308-0908,Jorge Castillo 415-308-0908,"San Francisco, CA 94107","461 2nd Street, Ste 335"
331010,168 Eddy St,Downtown,PL Approved,26-Mar-09,4,170,"100% Affordable housing, approx 170-u over 15,000 retail. TNDC.",,Mixed Use,RC-4,678,15000,,,,,15000,,2007.1342,,30-Jul-08,,80-130-T,RC-4,30-Jul-08,-122.410403,37.784369,261,Mixres,-1,PL Approved,5,170,15000,,,,,15000,,72,20870,331,10,0,-144,6,Tenderloin Neighborhood Developmen,Nick Griffin,415.776.2151,Nick Griffin 415.776.2151,"San Francisco, CA  94102",201 Eddy Street
336017,245 Hyde St,Downtown,PL Approved,10-Apr-08,4,65,Partial interior demo of existing 2-story office/retail structure to insert an additional floor level & construct an 1-story vertial addition for a total of 4-stories to house 65 dwelling units.,,Mixed Use,RC-4,300,0,0,,,,0,,2005.0762,,16-Oct-06,,80-T,RC-4,16-Oct-06,-122.415949,37.78298,268,Resident,-1,PL Approved,5,65,-26640,,,-24240,,-2400,,,19092,336,17,0,0,6,AF Evans,Bre Martinez,510-891-9400,Bre Martinez 510-891-9400,"Oakland, CA 94607","1000 Broadway, Ste 300"
339006,130 Turk St,Downtown,CONSTRUCTION,14-Feb-11,9,9,"convert vacant commercial building (retail / bathhouse) to up to 28 dwelling units (needs ""EE"")","CONVERSION OF (E) 3 STORY OVER BASEMENT BLDG. TO A 5 STORY OVER BASEMENT BLDG. WITH G/F OFFICE PSACE, 9 RESIDENTIAL UNITS AT UPPER FLOORS AND PARKING AT BASEMENT. THE HISTORICAL FACADE AT TURK STREET TO BE RESTORED WITH NEW G/F STORE FRONT AND GARAGE DOOR",Mixed Use,RC-4,304,4999,0,0,0,0,4999,0,2005.031,200605232239,30-Mar-05,23-May-06,80-120-T,RC-4,30-Mar-05,-122.41136,37.78327,272,Mixres,-1,Construction,13,9,-6116,0,0,0,0,-6116,0,72,3781,339,6,,,6,"Shatara Architecture, Inc.",Suheil Shatara,415-512-7566,Suheil Shatara 415-512-7566,"San Francisco, CA 94107",522 2nd Street
343014,181 Turk St,Downtown,BP REINSTATED,10-Mar-09,4,32,"Build 32 dwellings, ground floor commercial space and 8 off-street parking spaces on site authorized as vacant, but used as parking lot.","ERECT 4 STORY RESIDENTIAL, RETAIL & PARKING BUILDING",Mixed Use,RC-4,296,3060,0,0,0,0,3060,0,2005.0267,200608230323,16-Mar-05,23-Aug-06,80-120-T,RC-4,16-Mar-05,-122.411966,37.78292,283,Mixres,-1,BP Approved/Issued/Re-Instated,8,32,3060,0,0,0,0,3060,0,72,4744,343,14,8,8,6,Gabriel Ng and Associates,Jeremy  Schaub,682-8060x103,Jeremy  Schaub 682-8060x103,"San Francisco,  CA  94122","1360 9th Ave, #210"
347016,399 Golden Gate Av,Downtown,PL Approved,27-Nov-07,3,0,"The proposal is the construction of a new Shih Yu-Lang Central YMCA Community Facility on land owne by the Hastings College of Law.  The new facility would include approcimately 53,000 gsf in four stories above a full basement at a height of about 76 feet",,Mixed Use,RC-4,286,53000,0,0,0,0,53000,0,2006.1532,,28-Dec-06,,80-T,RC-4,28-Dec-06,-122.416948,37.78135,291,Retail/Ent,-1,PL Approved,5,0,53000,0,0,0,0,53000,0,,12754,347,13,0,-1,6,American Conservatory Theater,Suzanne  Brown,510-848-2455,Suzanne  Brown 510-848-2455,"Berkeley, CA 94704","2150 Allston Way, Suite 290"
