Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,TAZ,Total GSF (Commercial),Office,"Cult, Inst, Educ",Medical,"Prod, Dist, Rep","Ret, Ent",Visitor,Planning ID,DBI Permit,Planning Filed,DBI Filed,Expr1022,Expr1023,FirstFiled,Longitude,Latitude,ObjectID,Expr1028,LANDUSE,EntitlementStatus,sort,ACTION_SEQ,Net Added Units,Net Added SF,"Net Cult, Inst, Educ",Net Medical,Net Office,"Net Prod, Dist, Rep","Net Ret, Ent",Net Visitor,TempSelect,SiteArea,BLOCK,LOT,PARKING,PARKINGNET,ZONING,HEIGHTLIMIT
3547002A,1880 Mission St,Mission,BP APPROVED,8/20/09,194,Demolish light industrial bldg and construct 194-unit PUD with commercial and 225 parking spaces.,,Mixed Use,NCT,236,0,0,0,0,0,0,0,2003.0758,2.0071E+11,7/10/03,,65-X,Mission St NCT,10-Jul-03,-122.420027,37.767068,1518,,Resident,-1,BP Approved/Issued/Re-Instated,9,194,"-63,512",0,0,0,"-63,512",0,0,,52075,3547,002A,225,225,Mission St NCT,65-X
5618020,152 Elsie St,Bernal Heights,BP REINSTATED,2/20/09,1,the project proposes the new construction of a single family residence without the required two parking spaces.,ERECT A TWO STORY SINGLE FAMILY DWELING,Residential,RH-1,116,0,,,,,,,2007.1215,2.0031E+11,10/18/07,10/6/03,40-X,RH-1,6-Oct-03,-122.418345,37.742132,2531,,Resident,-1,BP Approved/Issued/Re-Instated,8,1,0,,,,,,,,1750,5618,20,,,RH-1,40-X
7016023,652 Lakeview Av,"Ingleside, Other",BP APPROVED,8/7/09,1,,ERECT A THREE STORY SINGLE FAMILY DWELLING,Residential,RH-1,35,0,0,0,0,0,0,0,2004.1041,2.00311E+11,9/7/04,11/24/03,40-X,RH-1,24-Nov-03,-122.457838,37.7184,2994,,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0,0,0,0,0,0,0,,2500,7016,23,,,RH-1,40-X
6022014,395 Athens St,"South Central, Other",BP REINSTATED,1/5/10,2,,ERECT A FOUR STORY TWO UNIT RESIDENTIAL BLDG,Residential,RH-2,47,0,0,0,0,0,0,0,2006.0401,2.00312E+11,2/13/06,12/24/03,40-X,RH-2,24-Dec-03,-122.428118,37.721789,2657,,Resident,-1,BP Approved/Issued/Re-Instated,8,2,0,0,0,0,0,0,0,,2500,6022,14,,,RH-2,40-X
6176011,23 Sparta St,"South Central, Other",BP ISSUED,6/4/10,1,"Erect 3-story Type V, Single-Family Structure in a RH-1/40-X zoning district.",ERECT 3-STORY TYPE-V SINGLE FAMILY STRUCTURE,Residential,RH-1,30,0,0,0,0,0,0,0,2009.0081,2.00401E+11,1/16/09,1/6/04,40-X,RH-1,6-Jan-04,-122.40335,37.718079,2702,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,,4159,6176,11,,,RH-1,40-X
4645002B,818 Innes Av,India Basin,BP REINSTATED,11/6/07,3,"The project is the new construction of a mixed use building with 3 residential units over 2,000 square feet of office use, with 3 parking spaces.", ERECT A FOUR STORY THREE UNIT RESIDENTIAL BLDG WITH COML,Mixed Use,NC-2,446,"2,000","2,000",,,,,,2007.0573,2.00401E+11,2/7/08,1/27/04,40-X,NC-2,27-Jan-04,-122.374414,37.731417,2250,,Mixres,-1,BP Approved/Issued/Re-Instated,8,3,"2,000",,,"2,000",,,,,2500,4645,002B,3,3,NC-2,40-X
4645018,860 Innes Av,India Basin,BP APPROVED,11/3/08,4,"Construct a vertical addition to accommodate three DUs, convert ground floor to a three-car garage, and change ground floor use from business to retail in an NC-2 (Small-Scale Neighborhood Commercial) District and a 40-X Height and Bulk District.","ADD 2 NEW FLOORS TO (E) STRUCTURE.RECONFIGURE (E)SPACE W/NEW ADDED SPACE TO CREATE 1 COMM'L SPACE,",Mixed Use,NC-2,446,0,0,0,0,0,0,0,2004.1311,2.00402E+11,12/6/04,2/26/04,40-X,NC-2,26-Feb-04,-122.375385,37.731973,2252,,Resident,-1,BP Approved/Issued/Re-Instated,9,4,"-2,560",0,0,0,"-2,560",0,0,,2567,4645,18,,,NC-2,40-X
3589023,179 San Carlos St,Mission,BP ISSUED,6/4/08,3,New construction of 3-unit residential building.,ERECT A FIVE STORY THREE UNIT RESIDENTIAL BLDG,Residential,RTO-M,191,0,0,0,0,0,0,0,2004.0487,2.00403E+11,5/20/04,3/31/04,45-X,RTO-Mission,31-Mar-04,-122.419809,37.760621,1609,,Resident,-1,BP Approved/Issued/Re-Instated,11,3,0,0,0,0,0,0,0,,2000,3589,23,,,RTO-Mission,45-X
4846018,1351 Yosemite Av,"BVHP Area A,B",BP ISSUED,5/23/08,0,,ERECT A NEW 2 STORY CONTRACTOR'S WAREHOUSE & OFFICE,Industrial,PDR-2,892,"7,500","1,000",0,0,"6,500",0,0,,2.00405E+11,,5/28/04,40-X,PDR-2,28-May-04,-122.387592,37.724347,2319,,PDR,-1,BP Approved/Issued/Re-Instated,11,0,"7,500",0,0,"1,000","6,500",0,0,,5036,4846,18,,,PDR-2,40-X
3747012,325 Fremont St,Rincon Hill,BP ISSUED,12/17/10,69,CU to amend previous approval to rearrange the interior space to create more units.  VZ to reduce the required parking spaces from 70 to 51.  No change to buildig envelope.,PERMIT TO RECOMMENCE WORK ON PERMIT APPLICATIONS 9913300S AND 200507208180S - BUILD 69 UNIT RESIDENT,High Density Residential,RH DTR,767,0,0,0,0,0,0,0,2004.0636,2.01012E+11,7/8/04,12/8/10,85/250-R,RH DTR,8-Jul-04,-122.393033,37.787693,1811,,Resident,-1,BP Approved/Issued/Re-Instated,11,69,0,0,0,0,0,0,0,,6434,3747,12,,,RH DTR,85/250-R
1517007A,567 27th Av,Richmond,BP REINSTATED,3/1/07,2,,HORIZONTAL & VERTICAL ADDITION FROM 1 DWELLING TO 2,Residential,RH-2,280,0,0,0,0,0,0,0,,2.00407E+11,,7/15/04,40-X,RH-2,15-Jul-04,-122.486966,37.778737,918,,Resident,-1,BP Approved/Issued/Re-Instated,8,1,0,0,0,0,0,0,0,,2700,1517,007A,,,RH-2,40-X
2330005E,2243 19th Av,Outer Sunset,BP ISSUED,7/3/08,1,,"VERTICAL & HORIZONTAL ADDITION- ONE STORY OVER EXISTING 2 STORY BLDG. HALF BATHRM. STORAGE RM, BEDRM",Residential,RH-2,136,0,0,0,0,0,0,0,,2.00411E+11,,11/9/04,40-X,RH-2,9-Nov-04,-122.476036,37.745933,1231,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,,3029,2330,005E,,,RH-2,40-X
1822034,2609 Judah St,Outer Sunset,BP ISSUED,7/5/06,10,conditional use authorization for parking exemption in NC district.  Would provide 4 spaces for 10 DU but create 3 new on street spaces.,TO CONVERT (E) PARKING GARAGE TO COMMERCIAL SPACE.,Mixed Use,NC-2,198,"1,200",0,0,0,0,"1,200",0,2004.1145,2.00506E+11,11/10/04,,40-X,NC-2,10-Nov-04,-122.490034,37.760998,1155,,Mixres,-1,BP Approved/Issued/Re-Instated,11,10,"1,200",0,0,0,0,"1,200",0,,5000,1822,34,,,NC-2,40-X
5880002,2350 San Bruno Av,"South Central, Other",BP APPROVED,3/29/11,2,REAR YARD VARIANCE FOR NEW CONSTRUCTION OF A 2-UNIT BLDG.,DEMOLISH A 1 STORY HARDWARE RETAIL STORE,Residential,RM-1,92,0,0,0,0,0,0,0,2006.1205,2.00412E+11,9/28/06,12/1/04,40-X,RM-1,1-Dec-04,-122.406229,37.733184,2612,,Resident,-1,BP Approved/Issued/Re-Instated,9,2,"-2,250",0,0,0,0,"-2,250",0,,7169,5880,2,,,RM-1,40-X
6201028,187 Tioga Av,"South Central, Other",BP REINSTATED,2/8/07,1,,ERECT A 3 STORIES 1 FAMILY DWELLING,Residential,RH-1,23,0,0,0,0,0,0,0,,2.00412E+11,,12/13/04,40-X,RH-1,13-Dec-04,-122.407338,37.716918,2718,,Resident,-1,BP Approved/Issued/Re-Instated,8,1,0,0,0,0,0,0,0,,2500,6201,28,,,RH-1,40-X
4019002,550 Alabama St,Mission,BP ISSUED,5/29/07,0,Variance for parking.  Addition of third floor and mezzanine over existing two-story building for use as light industrial (apparel manufacturing).,ADDITION OF 3RD FLOOR OVER (E) 2 STORY BLDG. ADDITION OF NEW MEZZ OVER NEW 3RD FLOOR. FULL SEISMIC,Industrial,PDR-1-G,538,"5,650",0,0,0,"5,650",0,0,2005.0108,2.00412E+11,2/3/05,12/27/04,68-X,PDR-1-G,27-Dec-04,-122.412253,37.762264,2091,,PDR,-1,BP Approved/Issued/Re-Instated,11,0,"5,650",0,0,0,"5,650",0,0,,6175,4019,2,,,PDR-1-G,68-X
0026019B,869 North Point St,Northeast,BP ISSUED,11/30/06,3,Staff-Initiated D.R. to require design changes to comply with the Residential Design Guidelines,"ERECT A THREE STORY, THREE FAMILIES DWELLING UNITS",Residential,RH-3,850,0,0,0,0,0,0,0,2005.0902,2.00501E+11,9/19/05,1/24/05,40-X,RH-3,24-Jan-05,-122.421396,37.805454,65,23,Resident,-1,BP Approved/Issued/Re-Instated,11,3,0,0,0,0,0,0,0,23,3420,26,019B,,,RH-3,40-X
4645017,870 Innes Av,India Basin,BP REINSTATED,2/5/08,3,,REMODEL EXTG COMMERCIAL BLD TO CREATE 3 NEW CONDOMINIUM WITH 1 COMMERCIAL SPACE/CONCRETE 1ST LEVEL,Mixed Use,NC-2,446,0,0,0,0,0,0,0,,2.00501E+11,,1/31/05,40-X,NC-2,31-Jan-05,-122.375928,37.732279,2251,,Resident,-1,BP Approved/Issued/Re-Instated,8,3,"-2,560",0,0,0,"-2,560",0,0,,2567,4645,17,,,NC-2,40-X
343014,181 Turk St,Downtown,BP REINSTATED,3/10/09,32,"Build 32 dwellings, ground floor commercial space and 8 off-street parking spaces on site authorized as vacant, but used as parking lot.","ERECT 4 STORY RESIDENTIAL, RETAIL & PARKING BUILDING",Mixed Use,RC-4,296,"3,060",0,0,0,0,"3,060",0,2005.0267,2.00608E+11,3/16/05,8/23/06,80-120-T,RC-4,16-Mar-05,-122.411966,37.78292,283,,Mixres,-1,BP Approved/Issued/Re-Instated,8,32,"3,060",0,0,0,0,"3,060",0,,4744,343,14,8,8,RC-4,80-120-T
668012,1465 Pine St,Northeast,BP APPROVED,2/22/11,35,,ERECT A FIVE STORY 35 DWELLING UNIT/COMM'L MIXED USE BUILDING,Mixed Use,NCD,327,0,0,0,0,0,0,0,,2.00503E+11,,3/16/05,65-A,POLK,16-Mar-05,-122.419851,37.789579,468,,Resident,-1,BP Approved/Issued/Re-Instated,9,35,0,0,0,0,0,0,0,,8692,668,12,,,POLK,65-A
4143008,948 Hampshire St,Mission,BP ISSUED,3/12/09,2,,VERTICAL ADDITION WITH STUDIO APT. ON GROUNDFLOOR,Residential,RH-2,171,0,0,0,0,0,0,0,,2.00503E+11,,3/29/05,40-X,RH-2,29-Mar-05,-122.40785,37.756913,2174,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,,2500,4143,8,,,RH-2,40-X
3584007,530 Sanchez St,Central,BP APPROVED,12/29/09,2,"To demolish the existing structures on the lot and construct a new 4-story, 2-unit residential building in an RH-3 district.",ERECT  4 STORIES OF 2 SWELLING UNITS.,Residential,RH-3,201,0,0,0,0,0,0,0,2006.04,2.00505E+11,2/9/06,5/3/05,40-X,RH-3,3-May-05,-122.430683,37.760651,1595,,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0,0,0,0,0,0,0,,2625,3584,7,,,RH-3,40-X
1453033,346 22nd Av,Richmond,BP APPROVED,7/6/10,1,,2 FAMILY RESIDENCES ADDITION & REMODELING,Residential,RM-1,677,0,0,0,0,0,0,0,,2.00505E+11,,5/27/05,40-X,RM-1,27-May-05,-122.481432,37.781273,878,,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0,0,0,0,0,0,0,,2991,1453,33,,,RM-1,40-X
4162012,758 Arkansas St,Showpl/Potrero,BP REINSTATED,6/28/07,2,,NEW FOUNDATIONS ADD 3RD & 4TH FLOOR. ADD NEW RESIDENTAIL UNIT.,Residential,RH-2,166,0,0,0,0,0,0,0,,2.00506E+11,,6/28/05,40-X,RH-2,28-Jun-05,-122.398059,37.756481,1826,,Resident,-1,BP Approved/Issued/Re-Instated,8,1,0,0,0,0,0,0,0,,2500,4162,12,,,RH-2,40-X
5475007,6534 03rd St,"BVHP Area A,B",BP ISSUED,5/3/07,2,"Construction of  a new three-story, two-unit residential building with a two-car garage. A front yard variance is sought.","ERECT 3 STORIES, 2 DWELLING UNITS BUILDING.",Residential,RM-1,905,0,0,0,0,0,0,0,2005.0858,2.00507E+11,9/1/05,7/6/05,40-X,RM-1,6-Jul-05,-122.397354,37.719316,2466,,Resident,-1,BP Approved/Issued/Re-Instated,11,2,0,0,0,0,0,0,0,,3096,5475,7,,,RM-1,40-X
5327038,1665 Palou Av,"BVHP Area A,B",BP ISSUED,3/29/11,2,,ERECT 2 DWELLING UNITS OF 4 STORIES.,Residential,RH-2,406,0,0,0,0,0,0,0,,2.00507E+11,,7/13/05,40-X,RH-2,13-Jul-05,-122.392226,37.734545,2402,,Resident,-1,BP Approved/Issued/Re-Instated,11,2,0,0,0,0,0,0,0,,2500,5327,38,,,RH-2,40-X
3613018B,2986 22nd St,Mission,BP APPROVED,12/31/08,3,"Construct  two stories vertical  and  four stories  horizontal addition to the rear of  the existing two-story, single-family house. The  proposal would also add two dwelling units and an underground parking garage.  A rear yard variance is sought for the","ALTERATION OF (E) 1ST AND 2ND FLOORS, CONSTRUCTION OF 3RD & 4TH FLOOR, BASEMENT, ADDING TWO ADDT'L",Residential,RH-3,170,0,0,0,0,0,0,0,2005.1059,2.00507E+11,11/10/05,7/14/05,40-X,RH-3,14-Jul-05,-122.414062,37.755873,1657,,Resident,-1,BP Approved/Issued/Re-Instated,9,2,0,0,0,0,0,0,0,,1616,3613,018B,,,RH-3,40-X
3591024,793 South Van Ness Av,Mission,BP APPROVED,8/4/09,22,"Demolition of an existing gas station and construction of a five-story mixed-use building with 22 dwelling units, 7,795 GSF of ground floor retail use, and 49 off street parking spaces.   ","TO ERECT 5 STORIES, 29 UNITS OF RESIDENTIAL, COMMERCIAL & RETAIL BUILDING.",Mixed Use,NC-3,537,0,"-1,966",0,0,0,"1,966",0,2004.0914,2.00602E+11,8/18/05,2/10/06,55-X,NC-3,18-Aug-05,-122.416911,37.760617,1616,,Resident,-1,BP Approved/Issued/Re-Instated,9,22,"5,829",0,0,0,0,"5,829",0,,17702,3591,24,49,49,NC-3,55-X
3594016,3360 20th St,Mission,BP APPROVED,10/21/10,6,"Conversion of an automotive garage to six 3-BR, 2-BA units on two floors above garage.",TO ERECT 4 STORY 6 DWELLING UNITS,Mixed Use,NC-2,188,0,0,0,0,0,0,0,2005.037,2.00512E+11,8/23/05,12/20/05,45-X,NC-2,23-Aug-05,-122.416099,37.758952,1619,,Resident,-1,BP Approved/Issued/Re-Instated,9,6,"-4,750",0,0,0,"-4,750",0,0,,4750,3594,16,,,NC-2,45-X
3775172,181 South Park St,East SoMa,BP ISSUED,3/19/07,8,"Conversion of 2nd floor office space to two dwelling units with less than the required square footage of private usable open space, and  no rear yard .  Open space and Rear yard variances are being sought.",PERMIT APPLICATION IS FOR,Industrial,SPD,693,0,0,0,0,0,0,0,2005.0862,2.00608E+11,9/1/05,8/2/06,40-X,SPD,1-Sep-05,-122.394743,37.780815,1990,,Resident,-1,BP Approved/Issued/Re-Instated,11,2,0,0,0,0,0,0,0,,5678,3775,172,,,SPD,40-X
7107019,156 Broad St,"Ingleside, Other",BP APPROVED,12/10/09,2,,TO ERECT A NEW 2 STORY 2 DWELLING UNIT,Residential,RH-2,20,0,0,0,0,0,0,0,,2.00509E+11,,9/7/05,40-X,RH-2,7-Sep-05,-122.457724,37.71332,3029,,Resident,-1,BP Approved/Issued/Re-Instated,9,2,0,0,0,0,0,0,0,,6359,7107,19,,,RH-2,40-X
3729081,209 09th St,WSoMa,BP ISSUED,2/9/11,3,"Conversion from Office to Residential / Commercial. Addition of 2 stories and 7000 sf for a new 561/2 foot high, 14,500 sf bldg. 
SRO
>>Rear yard modification. ","ADD 2 NEW FLOORS TO BUILDING, 3 NEW RESIDENTIAL UNITS. REPLACE EXISTING STAIRCASES AND ELEVATOR. NEW",Industrial,SLR,596,0,0,0,0,0,0,0,2005.0966,2.0081E+11,10/13/05,10/16/08,50-X,SLR,13-Oct-05,-122.412852,37.77494,1852,53,Resident,-1,BP Approved/Issued/Re-Instated,11,3,"-11,600",0,0,"-11,600",0,0,0,53,4017,3729,81,,,SLR,50-X
3554027,411 Valencia St,Mission,BP APPROVED,3/24/11,16,"Construction 24-du bldg, with 1+ 16 stacked parking spaces on ground floor accessed from Caledonia Street, with two ground floor retail spaces of 620-gsf and 700-gsf on Valencia Street; six stories plus roof deck, 16,800-gsf total, on existing vacant lot.","ERECT A 4 STORY, EIGHT UNIT RESIDENTIAL STRUCTURE",Mixed Use,NCT,223,"1,400",,,,,"1,400",,2009.018,2.0051E+11,8/25/09,10/13/05,55-X,Valencia St NCT,13-Oct-05,-122.421838,37.76633,1537,,Mixres,-1,BP Approved/Issued/Re-Instated,9,16,"1,400",,,,,"1,400",,,4962,3554,27,17,17,Valencia St NCT,55-X
5258001,1409 Hudson Av,Other S Bayshore,BP ISSUED,12/4/07,1,,"TO ERECT 2 STORIES, 1 BASEMENT, SINGLE FAMILY DWELLING BUILDING.",Residential,RH-1,410,0,0,0,0,0,0,0,,2.00512E+11,,12/15/05,40-X,RH-1,15-Dec-05,-122.384954,37.737993,2377,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,,3000,5258,1,,,RH-1,40-X
619012,1860 Van Ness Av,Northeast,BP ISSUED,11/17/08,35,"The proposed project is demolition of a gas station on a 8,960-gsf site at the corner of Van Ness Avenue and Washington Street and construction of a 8-story 58,065-gsf residential mixed-use structure with 35 dwelling units, and 35 parking spaces in two su","TO ERECT 7 STORIES, 35 DWELLING UNITS OF RESIDENTIAL & RETAIL STORE.",Mixed Use,RC-4,343,"1,625",0,0,0,0,"1,625",0,2004.089,2.00602E+11,12/20/05,2/21/06,80-D,RC-4,20-Dec-05,-122.422633,37.792726,420,,Mixres,-1,BP Approved/Issued/Re-Instated,11,35,"1,625",0,0,0,0,"1,625",0,,9203,619,12,35,35,RC-4,80-D
1417003A,227 16th Av,Richmond,BP ISSUED,10/17/07,2,NEW CONSTRUCTION OF 2-UNIT BUILDING,"ERECT 4 STORY, TYPE 5, 2 UNITS RESIDENTIAL BUILDING.",Residential,RH-2,306,0,0,0,0,0,0,0,2006.0328,2.00512E+11,2/28/06,12/28/05,40-X,RH-2,28-Dec-05,-122.475498,37.783712,847,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,,3000,1417,003A,,,RH-2,40-X
274008,850 Bush St,Northeast,BP REINSTATED,4/10/08,23,,CONSTRUCT 7 FLOORS OF RESIDENTIAL USE ABOVE EXIST. COMMERCIAL BLDG AND RECONFIGURE EXIST. GROUND FLOOR TO INCLUDE ENTIRE LOBBY COMMERCIAL AND RESIDENTIAL,Mixed Use,RC-4,333,0,0,0,0,0,0,0,,2.00512E+11,,12/30/05,65-A,RC-4,30-Dec-05,-122.411288,37.789991,193,,Resident,-1,BP Approved/Issued/Re-Instated,8,23,0,0,0,0,0,0,0,,4103,274,8,,,RC-4,65-A
7060020,192 Majestic Av,"Ingleside, Other",BP ISSUED,9/3/08,1,,TO ERECT A NEW 2 STORY SINGLE FAMILY DWELLING UNIT,Residential,RH-1,26,0,0,0,0,0,0,0,,2.00601E+11,,1/5/06,40-X,RH-1,5-Jan-06,-122.453084,37.71576,3006,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,0,0,0,0,0,0,,3430,7060,20,,,RH-1,40-X
4829010,2105 Keith St,"BVHP Area A,B",BP APPROVED,11/4/08,8,"Demolition of the existing 3,900 sq. ft. industrial building and subdivide the parcel into four lots. New construction of four- two unit duplexes on each newly created parcels.","four permits for four duplexes, 8 total",Residential,RH-2,388,0,,,,,,,2006.0055,2.0071E+11,1/11/06,10/4/07,40-X,RH-2,11-Jan-06,-122.390551,37.727957,2316,,Resident,-1,BP Approved/Issued/Re-Instated,9,8,"-3,900",,,,"-3,900",,,,7670,4829,10,,,RH-2,40-X
5810009,842 Moultrie St,Bernal Heights,BP ISSUED,10/19/07,2,Relocation of pre-1900 812 sf cottage. Construct 2252sf sf home with 2 car parking.,"TO ERECT 3 STORIES, SINGLE FAMILY RESIDENCE.",Residential,RH-1,87,0,,,,,,,2006.0572,2.00601E+11,4/13/07,1/13/06,40-X,RH-1,13-Jan-06,-122.416373,37.73435,2578,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,,1710,5810,9,,,RH-1,40-X
6955014,4722 Mission St,"South Central, Other",BP APPROVED,7/26/07,8,Demolish existing commercial building on lot 15 and demolish existing two-story mixed use building on lot 14 and construct new mixed use building with 8 residential units 8 parking spaces and one commercial space. CU required for demolition of residential,DEMOLISH 2 STORIES OF 1 DWELLING UNIT.,Mixed Use,NC-3,48,"2,000",0,0,0,0,"2,000",0,2006.0208,2.00612E+11,2/9/06,12/29/06,65-A,NC-3,9-Feb-06,-122.436485,37.722746,2974,,Mixres,-1,BP Approved/Issued/Re-Instated,9,7,400,0,0,0,0,400,0,,5018,6955,14,8,8,NC-3,65-A
