Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,TAZ,Total GSF (Commercial),Office,"Cult, Inst, Educ",Medical,"Prod, Dist, Rep","Ret, Ent",Visitor,Planning ID,DBI Permit,Planning Filed,DBI Filed,HEIGHTLIMIT,ZONING,FirstFiled,Longitude,Latitude,ObjectID,TempSelect,LANDUSE,EntitlementStatus,sort,ACTION_SEQ,Net Added Units,Net Added SF
2676030,580 OAK PARK DR,Inner Sunset,BP ISSUED,11/28/07,1,"Construct a new single-family dwelling on a vacant parcel in an RH-1(D) (Residential, House, One-Family, Detached) District and a 40-X Height and Bulk District.","ERECT 3 STORIES, 1 DWELLING UNIT WITH 1 BASEMENT BLDG.",Residential,RH-1(D),545,0,0,0,0,0,0,0,2003.0741,2.00212E+11,,12/4/02,40-X,RH-1(D),4-Dec-02,-122.460196,37.756322,1292,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0
3615026,2525 MISSION ST,Mission,BP ISSUED,8/26/09,0,"The project is to demolish the existing single-story retail building and construct a new building that would be three-stories tall and would contain retail on the ground floor and offices on the second and third floors.
6/15/05 - Environmental Exemption",ERECT A 3 STORY COMMERCIAL SHOP & OFFICE,Mixed Use,NCT,176,"4,999","4,999",0,0,0,0,0,2003.0159,2.00302E+11,2/13/03,2/21/03,65-B,Mission St NCT,13-Feb-03,-122.418695,37.756561,1663,,MIPS,-1,BP Approved/Issued/Re-Instated,11,0,"4,999"
6517013,958 CAPP ST,Mission,BP ISSUED,3/4/05,2,Rear yard variance to demolish rear portion of 4-unit bldg and construct 2-unit bldg in rear yard.,ERECT 3 STORY 2 UNIT RESIDENTIAL BLDG-(REAR BLDG),Residential,RTO-M,158,0,0,0,0,0,0,0,2003.0309,2.00312E+11,3/20/03,12/31/03,40-X,RTO-Mission,20-Mar-03,-122.417423,37.751396,2803,,Resident,-1,BP Approved/Issued/Re-Instated,11,2,0
6942039,244 GRANADA AV,"Ingleside, Other",BP ISSUED,10/9/08,2,"Demolish a one-family dwelling and construct a new two-family dwelling in an RH-2 (Residential, House, Two-Family) District and a 40-X Height and Bulk District.",ERECT 3 STORY TWO UNIT DWELLING.,Residential,RH-2,53,0,0,0,0,0,0,0,2003.0374,2.00701E+11,3/25/03,1/5/07,40-X,RH-2,25-Mar-03,-122.45699,37.722873,2965,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0
3547002A,1880 MISSION ST,Mission,BP APPROVED,8/20/09,194,Demolish light industrial bldg and construct 194-unit PUD with commercial and 225 parking spaces.,,Mixed Use,NCT,236,0,0,0,0,0,0,0,2003.0758,2.0071E+11,7/10/03,,65-X,Mission St NCT,10-Jul-03,-122.420027,37.767068,1518,,Resident,-1,BP Approved/Issued/Re-Instated,9,194,"-63,512"
5618020,152 ELSIE ST,Bernal Heights,BP REINSTATED,2/20/09,1,the project proposes the new construction of a single family residence without the required two parking spaces.,ERECT A TWO STORY SINGLE FAMILY DWELING,Residential,RH-1,116,0,,,,,,,2007.1215,2.0031E+11,10/18/07,10/6/03,40-X,RH-1,6-Oct-03,-122.418345,37.742132,2531,,Resident,-1,BP Approved/Issued/Re-Instated,8,1,0
7016023,652 LAKEVIEW AV,"Ingleside, Other",BP APPROVED,8/7/09,1,,ERECT A THREE STORY SINGLE FAMILY DWELLING,Residential,RH-1,35,0,0,0,0,0,0,0,2004.1041,2.00311E+11,,11/24/03,40-X,RH-1,24-Nov-03,-122.457838,37.7184,2994,,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0
6022014,395 ATHENS ST,"South Central, Other",BP REINSTATED,1/5/10,2,,ERECT A FOUR STORY TWO UNIT RESIDENTIAL BLDG,Residential,RH-2,47,0,0,0,0,0,0,0,2006.0401,2.00312E+11,,12/24/03,40-X,RH-2,24-Dec-03,-122.428118,37.721789,2657,,Resident,-1,BP Approved/Issued/Re-Instated,8,2,0
6176011,23 SPARTA ST,"South Central, Other",BP APPROVED,4/13/10,1,"Erect 3-story Type V, Single-Family Structure in a RH-1/40-X zoning district.",ERECT 3-STORY TYPE-V SINGLE FAMILY STRUCTURE,Residential,RH-1,30,0,0,0,0,0,0,0,2009.0081,2.00401E+11,,1/6/04,40-X,RH-1,6-Jan-04,-122.40335,37.718079,2702,,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0
4645002B,818 INNES AV,India Basin,BP REINSTATED,11/6/07,3,"The project is the new construction of a mixed use building with 3 residential units over 2,000 square feet of office use, with 3 parking spaces.", ERECT A FOUR STORY THREE UNIT RESIDENTIAL BLDG WITH COML,Mixed Use,NC-2,446,"2,000","2,000",,,,,,2007.0573,2.00401E+11,5/14/07,1/27/04,40-X,NC-2,27-Jan-04,-122.374414,37.731417,2250,,Mixres,-1,BP Approved/Issued/Re-Instated,8,3,"2,000"
1648017,2900 FULTON ST,Richmond,BP ISSUED,7/2/09,3,To alter the existing ground level and to add three stories with four new dwelling units to the existing one-story commercial structure in an NC-1 district.,REDUCE SIZE OF (E)COMM'L SPACE & ADD 3 STORIES 3 UNITS RESIDENTIAL CONDO WITH GARAGE,Mixed Use,NC-1,264,0,0,0,0,0,0,0,2005.1093,2.00402E+11,,2/24/04,40-X,NC-1,24-Feb-04,-122.462821,37.773817,1031,,Resident,-1,BP Approved/Issued/Re-Instated,11,3,0
4645018,860 INNES AV,India Basin,BP APPROVED,11/3/08,4,"Construct a vertical addition to accommodate three DUs, convert ground floor to a three-car garage, and change ground floor use from business to retail in an NC-2 (Small-Scale Neighborhood Commercial) District and a 40-X Height and Bulk District.","ADD 2 NEW FLOORS TO (E) STRUCTURE.RECONFIGURE (E)SPACE W/NEW ADDED SPACE TO CREATE 1 COMM'L SPACE,",Mixed Use,NC-2,446,0,0,0,0,0,0,0,2004.1311,2.00402E+11,,2/26/04,40-X,NC-2,26-Feb-04,-122.375385,37.731973,2252,,Resident,-1,BP Approved/Issued/Re-Instated,9,4,"-2,560"
3589023,179 SAN CARLOS ST,Mission,BP ISSUED,6/4/08,3,New construction of 3-unit residential building.,ERECT A FIVE STORY THREE UNIT RESIDENTIAL BLDG,Residential,RTO-M,191,0,0,0,0,0,0,0,2004.0487,2.00403E+11,5/20/04,3/31/04,45-X,RTO-Mission,31-Mar-04,-122.419809,37.760621,1609,,Resident,-1,BP Approved/Issued/Re-Instated,11,3,0
4846018,1351 YOSEMITE AV,"BVHP Area A,B",BP ISSUED,5/23/08,0,,ERECT A NEW 2 STORY CONTRACTOR'S WAREHOUSE & OFFICE,Industrial,PDR-2,892,"7,500","1,000",0,0,"6,500",0,0,,2.00405E+11,,5/28/04,40-X,PDR-2,28-May-04,-122.387592,37.724347,2319,,PDR,-1,BP Approved/Issued/Re-Instated,11,0,"7,500"
3582023,4038 18TH ST,Central,BP ISSUED,4/12/05,3,,"PLACE NEW HALLWAY FOR 2ND EXIT. NEW STAIRS (EXTERIOR, WOOD)",Residential,RH-3,201,0,0,0,0,0,0,0,,2.00407E+11,,7/1/04,40-X,RH-3,1-Jul-04,-122.433561,37.761102,1586,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0
3747012,325 FREMONT ST,Rincon Hill,BP ISSUED,3/27/08,70,CU to amend previous approval to rearrange the interior space to create more units.  VZ to reduce the required parking spaces from 70 to 51.  No change to buildig envelope.,REVISION TO APPROVED SITE PERMIT#9913300/S-R4. SCOPE OF REVISED WORK INCLUDES ADDTION OF 18 UNITS,High Density Residential,RH DTR,767,0,0,0,0,0,0,0,2004.0636,2.00507E+11,7/8/04,7/20/05,85/250-R,RH DTR,8-Jul-04,-122.393033,37.787693,1811,2,Resident,-1,BP Approved/Issued/Re-Instated,11,70,0
2706035,1310 STANYAN ST,Central,BP APPROVED,2/9/09,1,"The proposal is to construct a new three story, single-family dwelling on a VACANT lot on an undeveloped portion of Stanyan Street in an RH-1 (D) District.",ERECT A TWO STORY SINGLE FAMILY DWELLING,Residential,RH-1(D),195,0,0,0,0,0,0,0,2004.1167,2.00407E+11,,7/15/04,40-X,RH-1(D),15-Jul-04,-122.451352,37.758762,1316,,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0
1517007A,567 27TH AV,Richmond,BP REINSTATED,3/1/07,2,,HORIZONTAL & VERTICAL ADDITION FROM 1 DWELLING TO 2,Residential,RH-2,280,0,0,0,0,0,0,0,,2.00407E+11,,7/15/04,40-X,RH-2,15-Jul-04,-122.486966,37.778737,918,,Resident,-1,BP Approved/Issued/Re-Instated,8,1,0
2330005E,2243 19TH AV,Outer Sunset,BP ISSUED,7/3/08,1,,"VERTICAL & HORIZONTAL ADDITION- ONE STORY OVER EXISTING 2 STORY BLDG. HALF BATHRM. STORAGE RM, BEDRM",Residential,RH-2,136,0,0,0,0,0,0,0,,2.00411E+11,,11/9/04,40-X,RH-2,9-Nov-04,-122.476036,37.745933,1231,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0
1822034,2609 JUDAH ST,Outer Sunset,BP ISSUED,7/5/06,10,conditional use authorization for parking exemption in NC district.  Would provide 4 spaces for 10 DU but create 3 new on street spaces.,TO CONVERT (E) PARKING GARAGE TO COMMERCIAL SPACE.,Mixed Use,NC-2,198,"1,200",0,0,0,0,"1,200",0,2004.1145,2.00506E+11,11/10/04,,40-X,NC-2,10-Nov-04,-122.490034,37.760998,1155,,Mixres,-1,BP Approved/Issued/Re-Instated,11,10,"1,200"
6201028,187 TIOGA AV,"South Central, Other",BP REINSTATED,2/8/07,1,,ERECT A 3 STORIES 1 FAMILY DWELLING,Residential,RH-1,23,0,0,0,0,0,0,0,,2.00412E+11,,12/13/04,40-X,RH-1,13-Dec-04,-122.407338,37.716918,2718,,Resident,-1,BP Approved/Issued/Re-Instated,8,1,0
4019002,550 ALABAMA ST,Mission,BP ISSUED,5/29/07,0,Variance for parking.  Addition of third floor and mezzanine over existing two-story building for use as light industrial (apparel manufacturing).,ADDITION OF 3RD FLOOR OVER (E) 2 STORY BLDG. ADDITION OF NEW MEZZ OVER NEW 3RD FLOOR. FULL SEISMIC,Industrial,PDR-1-G,538,"5,650",0,0,0,"5,650",0,0,2005.0108,2.00412E+11,,12/27/04,68-X,PDR-1-G,27-Dec-04,-122.412253,37.762264,2091,,PDR,-1,BP Approved/Issued/Re-Instated,11,0,"5,650"
7521002,5290 DIAMOND HEIGHTS BL,Central,BP APPROVED,4/21/05,0,"Change of use from Rite Aid to Walgreens and enlarge the existing nonconforming use size by 810 square-feet to a total of 8,910 square-feet.",,Mixed Use,NC-S,457,810,0,0,0,0,810,0,2004.1346,,12/30/04,,40-X,NC-S,30-Dec-04,-122.438146,37.74363,3104,,Retail/Ent,-1,BP Approved/Issued/Re-Instated,9,,810
0026019B,869 NORTH POINT ST,Northeast,BP ISSUED,11/30/06,3,Staff-Initiated D.R. to require design changes to comply with the Residential Design Guidelines,"ERECT A THREE STORY, THREE FAMILIES DWELLING UNITS",Residential,RH-3,850,0,0,0,0,0,0,0,2005.0902,2.00501E+11,10/5/05,1/24/05,40-X,RH-3,24-Jan-05,-122.421396,37.805454,65,,Resident,-1,BP Approved/Issued/Re-Instated,11,3,0
6190033,81 ERVINE ST,"South Central, Other",BP APPROVED,1/25/08,2,CU for lot subdivsion to create 2 substandard lots w/o min. lot width and area.,"TO ERECT 2 STORIES, SINGLE FAMILY RESIDENCE.",Residential,RH-1,23,0,0,0,0,0,0,0,2005.0094,2.00505E+11,1/27/05,5/17/05,40-X,RH-1,27-Jan-05,-122.409077,37.716195,2711,,Resident,-1,BP Approved/Issued/Re-Instated,9,2,0
4645017,870 INNES AV,India Basin,BP REINSTATED,2/5/08,3,,REMODEL EXTG COMMERCIAL BLD TO CREATE 3 NEW CONDOMINIUM WITH 1 COMMERCIAL SPACE/CONCRETE 1ST LEVEL,Mixed Use,NC-2,446,0,0,0,0,0,0,0,,2.00501E+11,,1/31/05,40-X,NC-2,31-Jan-05,-122.375928,37.732279,2251,,Resident,-1,BP Approved/Issued/Re-Instated,8,3,"-2,560"
343014,181 TURK ST,Downtown,BP REINSTATED,3/10/09,32,"Build 32 dwellings, ground floor commercial space and 8 off-street parking spaces on site authorized as vacant, but used as parking lot.","ERECT 4 STORY RESIDENTIAL, RETAIL & PARKING BUILDING",Mixed Use,RC-4,296,"3,060",0,0,0,0,"3,060",0,2005.0267,2.00608E+11,3/16/05,8/23/06,80-120-T,RC-4,16-Mar-05,-122.411966,37.78292,283,,Mixres,-1,BP Approved/Issued/Re-Instated,8,32,"3,060"
1844048,413 JUDAH ST,Inner Sunset,BP APPROVED,12/1/05,0,161.j Eliminate existing parking and create new retail space.,,Mixed Use,NCD,203,"1,012",0,0,0,0,"1,012",0,2005.0281,,3/17/05,,40-X,INNER SUNSET,17-Mar-05,-122.466395,37.762041,1171,,Retail/Ent,-1,BP Approved/Issued/Re-Instated,9,,"1,012"
4143008,948 HAMPSHIRE ST,Mission,BP ISSUED,3/12/09,2,,VERTICAL ADDITION WITH STUDIO APT. ON GROUNDFLOOR,Residential,RH-2,171,0,0,0,0,0,0,0,,2.00503E+11,,3/29/05,40-X,RH-2,29-Mar-05,-122.40785,37.756913,2174,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0
3584007,530 SANCHEZ ST,Central,BP APPROVED,12/29/09,2,"To demolish the existing structures on the lot and construct a new 4-story, 2-unit residential building in an RH-3 district.",ERECT  4 STORIES OF 2 SWELLING UNITS.,Residential,RH-3,201,0,0,0,0,0,0,0,2006.04,2.00505E+11,2/9/06,5/3/05,40-X,RH-3,3-May-05,-122.430683,37.760651,1595,,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0
2607099,399 BUENA VISTA EAST AV,Buena Vista,BP APPROVED,7/14/05,0,Construction of sunroom and deck at rear of existing building.,,Residential,RH-2,562,"15,720",0,"15,720",0,0,0,0,2005.0463,,5/12/05,,80-E,RH-2,12-May-05,-122.440669,37.766755,1249,,CIE,-1,BP Approved/Issued/Re-Instated,9,,"15,720"
2979A019,69 WEST PORTAL AV,Inner Sunset,BP APPROVED,9/8/05,0,"To enlarge an existing full-service restaurant from 1,385 square feet to 1,950 by expanding into the adjacent commercial space on the adjacent lot.  Existing restaurant was permitted as a conditional use therefore a new CU is required for the proposed exp",,Mixed Use,NCD,109,"3,900",0,0,0,0,"1,950",0,2005.0485,,5/19/05,,26-X,WEST PORTAL,19-May-05,-122.46643,37.740026,1406,,Retail/Ent,-1,BP Approved/Issued/Re-Instated,9,,"1,950"
4162012,758 ARKANSAS ST,Showpl/Potrero,BP REINSTATED,6/28/07,2,,NEW FOUNDATIONS ADD 3RD & 4TH FLOOR. ADD NEW RESIDENTAIL UNIT.,Residential,RH-2,166,0,0,0,0,0,0,0,,2.00506E+11,,6/28/05,40-X,RH-2,28-Jun-05,-122.398059,37.756481,1826,,Resident,-1,BP Approved/Issued/Re-Instated,8,1,0
5475007,6534 03RD ST,"BVHP Area A,B",BP ISSUED,5/3/07,2,"Construction of  a new three-story, two-unit residential building with a two-car garage. A front yard variance is sought.","ERECT 3 STORIES, 2 DWELLING UNITS BUILDING.",Residential,RM-1,905,0,0,0,0,0,0,0,2005.0858,2.00507E+11,,7/6/05,40-X,RM-1,6-Jul-05,-122.397354,37.719316,2466,,Resident,-1,BP Approved/Issued/Re-Instated,11,2,0
2936A001D,69 GARCIA AV,Inner Sunset,BP REINSTATED,12/2/09,1,"To construct a new single-family dwelling on a vacant lot.  Due to slope of the lot, the new dwelling will be 4-stories over a garage in the front and 2-stories in the rear in an RH-1(D) district.",ERECT 3 STORIES  SINGLE FAMILY DWELLING BUILDING .,Residential,RH-1(D),118,0,0,0,0,0,0,0,2005.1042,2.00507E+11,10/27/05,7/14/05,40-X,RH-1(D),14-Jul-05,-122.459319,37.744024,1398,,Resident,-1,BP Approved/Issued/Re-Instated,8,1,0
3613018B,2986 22ND ST,Mission,BP APPROVED,12/31/08,3,"Construct  two stories vertical  and  four stories  horizontal addition to the rear of  the existing two-story, single-family house. The  proposal would also add two dwelling units and an underground parking garage.  A rear yard variance is sought for the","ALTERATION OF (E) 1ST AND 2ND FLOORS, CONSTRUCTION OF 3RD & 4TH FLOOR, BASEMENT, ADDING TWO ADDT'L",Residential,RH-3,170,0,0,0,0,0,0,0,2005.1059,2.00507E+11,,7/14/05,40-X,RH-3,14-Jul-05,-122.414062,37.755873,1657,,Resident,-1,BP Approved/Issued/Re-Instated,9,2,0
619012,1860 VAN NESS AV,Northeast,BP ISSUED,11/17/08,35,"The proposed project is demolition of a gas station on a 8,960-gsf site at the corner of Van Ness Avenue and Washington Street and construction of a 8-story 58,065-gsf residential mixed-use structure with 35 dwelling units, and 35 parking spaces in two su","TO ERECT 7 STORIES, 35 DWELLING UNITS OF RESIDENTIAL & RETAIL STORE.",Mixed Use,RC-4,343,"1,625",0,0,0,0,"1,625",0,2004.089,2.00602E+11,8/9/05,2/21/06,80-D,RC-4,9-Aug-05,-122.422633,37.792726,420,,Mixres,-1,BP Approved/Issued/Re-Instated,11,35,"1,625"
3591024,793 SOUTH VAN NESS AV,Mission,BP APPROVED,8/4/09,22,"Demolition of an existing gas station and construction of a five-story mixed-use building with 22 dwelling units, 7,795 GSF of ground floor retail use, and 49 off street parking spaces.   ","TO ERECT 5 STORIES, 29 UNITS OF RESIDENTIAL, COMMERCIAL & RETAIL BUILDING.",Mixed Use,NC-3,537,0,"-1,966",0,0,0,"1,966",0,2004.0914,2.00602E+11,8/18/05,2/10/06,55-X,NC-3,18-Aug-05,-122.416911,37.760617,1616,,Resident,-1,BP Approved/Issued/Re-Instated,9,22,"5,829"
3749059,45 LANSING ST,Rincon Hill,BP ISSUED,7/31/08,305,"Demolition of an existing building and construction of a 400-foot mixed-use building with 305 dwelling units, 280 off-street parking spaces, and 1,000 GSF of ground floor retail use.  ",ERECT- ONE TYPE-1 40-STORIES 270 DWELLING UNITS,High Density Residential,RH DTR,732,0,0,0,0,0,0,0,2004.0481,2.00508E+11,11/3/05,8/31/05,65-X/ 65/400-,RH DTR,31-Aug-05,-122.393648,37.786135,1928,2,Resident,-1,BP Approved/Issued/Re-Instated,11,305,"-14,000"
3775172,181 SOUTH PARK ST,East SoMa,BP ISSUED,3/19/07,8,"Conversion of 2nd floor office space to two dwelling units with less than the required square footage of private usable open space, and  no rear yard .  Open space and Rear yard variances are being sought.",PERMIT APPLICATION IS FOR,Industrial,SPD,693,0,0,0,0,0,0,0,2005.0862,2.00608E+11,9/1/05,8/2/06,40-X,SPD,1-Sep-05,-122.394743,37.780815,1990,2,Resident,-1,BP Approved/Issued/Re-Instated,11,2,0
7107019,156 BROAD ST,"Ingleside, Other",BP APPROVED,12/10/09,2,,TO ERECT A NEW 2 STORY 2 DWELLING UNIT,Residential,RH-2,20,0,0,0,0,0,0,0,,2.00509E+11,,9/7/05,40-X,RH-2,7-Sep-05,-122.457724,37.71332,3029,,Resident,-1,BP Approved/Issued/Re-Instated,9,2,0
5258001,1409 HUDSON AV,Other S Bayshore,BP ISSUED,12/4/07,1,,"TO ERECT 2 STORIES, 1 BASEMENT, SINGLE FAMILY DWELLING BUILDING.",Residential,RH-1,410,0,0,0,0,0,0,0,,2.00512E+11,,12/15/05,40-X,RH-1,15-Dec-05,-122.384954,37.737993,2377,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0
1417003A,227 16TH AV,Richmond,BP ISSUED,10/17/07,2,NEW CONSTRUCTION OF 2-UNIT BUILDING,"ERECT 4 STORY, TYPE 5, 2 UNITS RESIDENTIAL BUILDING.",Residential,RH-2,306,0,0,0,0,0,0,0,2006.0328,2.00512E+11,2/28/06,12/28/05,40-X,RH-2,28-Dec-05,-122.475498,37.783712,847,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0
274008,850 BUSH ST,Northeast,BP REINSTATED,4/10/08,23,,CONSTRUCT 7 FLOORS OF RESIDENTIAL USE ABOVE EXIST. COMMERCIAL BLDG AND RECONFIGURE EXIST. GROUND FLOOR TO INCLUDE ENTIRE LOBBY COMMERCIAL AND RESIDENTIAL,Mixed Use,RC-4,333,0,0,0,0,0,0,0,,2.00512E+11,,12/30/05,65-A,RC-4,30-Dec-05,-122.411288,37.789991,193,,Resident,-1,BP Approved/Issued/Re-Instated,8,23,0
7060020,192 MAJESTIC AV,"Ingleside, Other",BP ISSUED,9/3/08,1,,TO ERECT A NEW 2 STORY SINGLE FAMILY DWELLING UNIT,Residential,RH-1,26,0,0,0,0,0,0,0,,2.00601E+11,,1/5/06,40-X,RH-1,5-Jan-06,-122.453084,37.71576,3006,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0
5810009,842 MOULTRIE ST,Bernal Heights,BP ISSUED,10/19/07,2,Relocation of pre-1900 812 sf cottage. Construct 2252sf sf home with 2 car parking.,"TO ERECT 3 STORIES, SINGLE FAMILY RESIDENCE.",Residential,RH-1,87,0,,,,,,,2006.0572,2.00601E+11,4/13/07,1/13/06,40-X,RH-1,13-Jan-06,-122.416373,37.73435,2578,,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0
6955014,4722 MISSION ST,"South Central, Other",BP APPROVED,7/26/07,8,Demolish existing commercial building on lot 15 and demolish existing two-story mixed use building on lot 14 and construct new mixed use building with 8 residential units 8 parking spaces and one commercial space. CU required for demolition of residential,DEMOLISH 2 STORIES OF 1 DWELLING UNIT.,Mixed Use,NC-3,48,"2,000",0,0,0,0,"2,000",0,2006.0208,2.00612E+11,2/9/06,12/29/06,65-A,NC-3,9-Feb-06,-122.436485,37.722746,2974,,Mixres,-1,BP Approved/Issued/Re-Instated,9,7,400
1069004,21 WOOD ST,Richmond,BP ISSUED,8/1/08,2,DEMOLITION SFD,"ERECT A FOUR STORY, TWO UNIT RESIDENTIAL DWELLING",Residential,RH-2,687,0,0,0,0,0,0,0,2006.0157,2.00602E+11,,2/13/06,40-X,RH-2,13-Feb-06,-122.448837,37.783935,702,,Resident,-1,BP Approved/Issued/Re-Instated,11,2,0
660007,19 WILMOT ST,Japantown,BP ISSUED,1/24/08,2,Demolition of two-family dwelling building and construction of new two-unit structure.  ,"TO ERECT 3 STORIES, 2 UNITS RESIDENTIAL BUILDING.",Residential,RH-2,321,0,0,0,0,0,0,0,2006.1356,2.00602E+11,6/13/07,2/24/06,40-X,RH-2,24-Feb-06,-122.432282,37.787514,453,,Resident,-1,BP Approved/Issued/Re-Instated,11,2,0
5619057,133 ELSIE ST,Bernal Heights,BP APPROVED,12/7/09,1,,ERECT 3 STORY SINGLE FAMILY DWELLING,Residential,RH-1,447,0,0,0,0,0,0,0,,2.00603E+11,,3/1/06,40-X,RH-1,1-Mar-06,-122.417814,37.742368,2533,,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0
