Block Lot,Address,Planning Neighborhood,Best Stat,Best Date,Units,Planning Project Description,DBI Project Description,Zoning_Generalized,Zoning_Simplified,TAZ,Total GSF (Commercial),Office,"Cult, Inst, Educ",Medical,"Prod, Dist, Rep","Ret, Ent",Visitor,Planning ID,DBI Permit,Planning Filed,DBI Filed,Expr1022,Expr1023,FirstFiled,Longitude,Latitude,ObjectID,LANDUSE,EntitlementStatus,sort,ACTION_SEQ,Net Added Units,Net Added SF,"Net Cult, Inst, Educ",Net Medical,Net Office,"Net Prod, Dist, Rep","Net Ret, Ent",Net Visitor,BLOCK,LOT,PARKING,PARKINGNET,ZONING,HEIGHTLIMIT,SUPDIST,Sponsor Firm,Sponsor Name,CONTACTPHONE,FULLNAME,CONTACTCITY,CONTACTADD
201012,8 Washington Street,Northeast,PL Filed,4-Dec-07,170,The proposed project would include the temporary removal of the existing Golden Gateway Tennis and Swim Club facility and the new construction of two mixed use buildings and outdoor health club facilities. The new buildings would include 170 residential u,,Mixed Use,P,814,32100,1500,0,0,0,30600,0,2007.003,,4-Dec-07,,84-E,RC-4,4-Dec-07,-122.395756,37.796691,31,Mixres,0,Planning Filed,2,170,32100,0,0,1500,0,30600,0,201,12,520,520,RC-4,84-E,3,Golden Gateway Center,Tina DiRienzo,415-434-2000,Tina DiRienzo 415-434-2000,San Francisco CA 94111,460 Davis Court
220027,1248 Leavenworth St,Northeast,CONSTRUCTION,13-May-11,3,"2007.0462: CU for demolition of 2 dwelling units. 2008.0135: New construction: 3 dwelling units, 4 story over 3-car garage","TO ERECT 4 STORY, 4 DWELLING MULTI FAMILY UNITS.",Residential,RM-3,341,0,,,,,,,2008.0135,2.0071E+11,30-Jan-08,,65-A,RM-3,30-Jan-08,-122.41584,37.792587,36,Resident,-1,Construction,13,1,0,,,,,,,220,27,3,2,RM-3,65-A,3,Hood Thomas  Architects,John Hood,415-385-2303,John Hood 415-385-2303,"San Francisco, CA 94105",440 Spear Street
7001,2936 Hyde St,Northeast,PL Approved,15-Aug-06,0,"Exemption - demolition only
Demolition of an existing 18,000 gsf seafood processing facility at wharf J10 and reconstruction of a 21,000 gsf wharf to allow continued boat berthing and associated loading and unloading.",,Commercial,C-2,847,3000,0,0,0,3000,0,0,2001.0636,,20-Jun-01,,40-X,C-2,20-Jun-01,-122.420741,37.808041,53,PDR,-1,PL Approved,5,,3000,0,0,0,3000,0,0,7,1,,,C-2,40-X,3,Port of San Francisco,Steven  Reel,274-0574,Steven  Reel 274-0574,"San Francisco, CA 94111",Pier 1
25017,721 Beach St,Northeast,BP Filed,29-Nov-10,1,"Demolition of an existing 558-sq. ft. one-story warehouse and construction of a new four-unit residential building over 5,589 sq. ft. of groundfloor retail. The new building would be four stories, approximately 40 feet in height, totaling approximately 12","TO ERECT 3 STORIES, 1 UNIT RESIDENTIAL / COMMERCIAL BUILDING.",Commercial,C-2,850,5589,0,0,0,0,5589,0,2006.0441,2.01011E+11,7-Nov-06,29-Nov-10,40-X,C-2,7-Nov-06,-122.420554,37.806808,60,Mixres,0,BP Filed,4,1,5589,0,0,0,0,5589,0,25,17,,,C-2,40-X,3,Patri Merker Architects,Marie Zeller,415-334-6494,Marie Zeller 415-334-6494,"San Francisco, CA 94131",318 Arlington Street
0026019B,869 North Point St,Northeast,BP ISSUED,30-Nov-06,3,Staff-Initiated D.R. to require design changes to comply with the Residential Design Guidelines,"ERECT A THREE STORY, THREE FAMILIES DWELLING UNITS",Residential,RH-3,850,0,0,0,0,0,0,0,2005.0902,2.00501E+11,19-Sep-05,24-Jan-05,40-X,RH-3,24-Jan-05,-122.421396,37.805454,65,Resident,-1,BP Approved/Issued/Re-Instated,11,3,0,0,0,0,0,0,0,26,019B,,,RH-3,40-X,2,San Francisco Planning Department,San Francisco Planning Department,415-558-6250,San Francisco Planning Department 415-558-6250,"San Francisco, CA 94103","1650 Mission St., Suite 400"
28014,1255- 1275 Columbus Av,Northeast,PL Approved,8-Jun-11,20,"Remove office, new construction 20-unit residential condominium with approximately 6,500 sf retail and 20 parking spaces at ground floor. Variance required because no commercial parking is provided.",,Commercial,C-2,832,6500,0,,,,6500,,2008.0723,,29-Jul-09,,40-X,C-2,29-Jul-09,-122.418199,37.80569,67,Mixres,-1,PL Approved,5,20,-9352,,,-15852,,6500,,28,14,20,-1,C-2,40-X,3,Divisadero Hayes LLC,Bruce  Baumann,415-551-7884,Bruce  Baumann 415-551-7884,San Francisco CA 94103,"1221 Harrison Street, #22"
41039,377 Bay St,Northeast,BP Filed,17-Dec-07,2,"Variance from parking requirements to allow the addition of two stories with four dwelling units to an existing one-story commercial building, with no parking to be provided. ",Remodel (E) restaurant #1 at ground floor and  convert (E) restaurant #2 space to two car garage. Ad,Commercial,C-2,833,2251,,,,,2251,,2008.121,2.00712E+11,20-Oct-08,17-Dec-07,40-X,C-2,17-Dec-07,-122.413093,37.805557,75,Mixres,-1,BP Filed,13,2,-500,,,,,-500,,41,39,,2,C-2,40-X,3,Dickson Consulting Group,John Lau,415 831-7180,John Lau 415 831-7180,"San Francisco, CA  94121","3900 Geary Boulevard, Suite #201"
45005,850 Francisco St,Northeast,BP ISSUED,12-Jul-06,1,Rev. to approve site permit# 2001.01.26.0712 SR-5: Erect a four-story single-family dwelling.,ERECT A FOUR STORY SINGLE FAMILY DWELLING.,Residential,RH-1(D),848,0,,,,,,,2007.0703,2.00101E+11,6-Jul-07,26-Jan-01,40-X,RH-1(D),26-Jan-01,-122.419303,37.80415,78,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,45,5,3,3,RH-1(D),40-X,2,"Reuben& Junius,LLP",Joel  Yodowitz,,Joel  Yodowitz ,,
69011,2626 Larkin St,Northeast,BP ISSUED,19-Nov-10,2,"Construction of a new 4-story, 2-unit residential building.",TO ERECT A NEW FOUR STORY TWO FAMILY DWELLING UNIT.,Residential,RH-3,849,0,,,,,,,2009.0907,2.00809E+11,28-Sep-09,26-Sep-08,40-X,RH-3,26-Sep-08,-122.421117,37.802094,94,Resident,-1,BP Approved/Issued/Re-Instated,11,1,0,,,,,,,69,11,,,RH-3,40-X,2,Walker and Moody Architects,Dean Martelli,885-0800,Dean Martelli 885-0800,"San Francisco, CA 94109",2666 Hyde Street
74001,701 Lombard St,Northeast,PL Filed,11-Aug-08,0,"Library Bond project combined with Park Plan.  Project includes new library on the lot at the corner of Columbus & Lombard Streets (0074/001), demolition of existing branch library, and plan for reorganization and improvements to Joe DiMaggio Playground (",,Mixed Use,NCD,381,8900,,8900,,,0,,2008.0968,,1-Sep-09,,40-X,NO BEACH,1-Sep-09,-122.413076,37.802763,96,CIE,0,Planning Filed,2,0,3563,3563,,,,0,,74,1,,,NO BEACH,40-X,3,Branch Library Improvement Program,Mindy Linetsky,557-4427,Mindy Linetsky 557-4427,"San Francisco, CA 94103-2603",190 Ninth Street
77004,30 Edith St,Northeast,BP Filed,31-Dec-08,3,,CONVERT ONE (1) UNIT TO THREE (3) UNIT CONDOS & ADD TWO (2) NEW STORIES. REMODEL (E) BLDG INCLUDING ,Residential,RH-3,382,0,0,0,0,0,0,0,,2.00812E+11,,31-Dec-08,40-X,RH-3,31-Dec-08,-122.408231,37.802986,101,Resident,0,BP Filed,10,2,0,0,0,0,0,0,0,77,4,,,RH-3,40-X,3,,,,,,
89007,1729 Stockton St,Northeast,CONSTRUCTION,19-May-11,3,Demolish rear yard accessory cottage house of indeterminate constuction date and construct new 3-story two-unit home.,"A NEW 1 STORY VERTICAL ADDITION HOUSING, 2 NEW STUDIO APARTMENTS OVER AN (E) REAR YARD ONE UNIT COTT",Mixed Use,NCD,382,0,,,,,,,2006.0828,2.01012E+11,7-Nov-07,29-Dec-10,40-X,NO BEACH,7-Nov-07,-122.409587,37.801662,106,Resident,-1,Construction,13,2,0,,,,,,,89,7,,,NO BEACH,40-X,3,,Albert Costa,415.986.0101,Albert Costa 415.986.0101,"San Francisco, CA 94111","1620 Montgomery Street, Suite 320"
101004,1741 Powell St,Northeast,BP Filed,12-Aug-09,18,"The project would renovate a gutted theater into 3,500 square feet of commercial space and 17 residential condominiums with 20 parking spaces.",PER SF PLANNING MOTION 17797 PERMITTING THE CONVERSION OF EXISTING THEATER TO MIX USE BUILDING WITH ,Mixed Use,NCD,376,3525,,,,,3525,,2007.1117,2.00908E+11,15-Dec-08,12-Aug-09,40-X,NO BEACH,15-Dec-08,-122.411045,37.800478,115,Mixres,-1,BP Filed,5,18,-11795,,,,,-11795,,101,4,,,NO BEACH,40-X,3,,David Pultz,415-901-7213,David Pultz 415-901-7213,"San Francisco, CA 94104","456 Montgomery Street, Ste 300"
119025,1812 Taylor St,Northeast,BP APPROVED,16-Jun-11,3,Add dwelling unit on ground floor with no expansion of the building,SITE PERMIT: ADD 3RD UNIT AT GROUND FLOOR ~450 SF. 3 PARKING SPACES PROVIDED IN GARAGE. MECH & PLUMB,Residential,RM-2,371,0,,,,,,,2010.0786,2.00709E+11,8-Sep-10,19-Sep-07,40-X,RM-2,19-Sep-07,-122.413802,37.799113,129,Resident,-1,BP Approved/Issued/Re-Instated,9,1,0,,,,,,,119,25,,,RM-2,40-X,3,Lisa O. Wong A.I.A,Lisa O. Wong,415-621-1280,Lisa O. Wong 415-621-1280,"San Francisco, CA 94103",1213 Folsom Street
0133006A,1131 Montgomery St,Northeast,PL Approved,26-Sep-08,2,"The proposal is construction of a new three-story single-family house behind an existing one-story single family 850-square-foot house at 1131 Montgomery Street.  THe original foundation of the existing house would be replaced, restructured, excavated and",,Residential,RH-3,372,0,0,0,0,0,0,0,2007.0201,,23-Feb-07,,40-X,RH-3,23-Feb-07,-122.40427,37.799467,134,Resident,-1,PL Approved,5,1,0,0,0,0,0,0,0,133,006A,,,RH-3,40-X,3,Wessel Associates,Rod Wessel,285-6500,Rod Wessel 285-6500,"San Francisco, CA  94114",473 Collingwood Street
133012,414 Vallejo St,Northeast,CONSTRUCTION,23-May-11,3,RELOCATION AND UPGRADE OF EGRESS STAIRS IN REAR YARD.  UPGRADE HOUSE KEEPING UNIT INTO 3RD DWELLING UNIT,"Seismic reinforcement front and rear, partial relocation of (e) interior stairway. Construction of (",Residential,RH-3,372,0,,,,,,,2008.0221,2.00712E+11,25-Feb-08,28-Dec-07,40-X,RH-3,28-Dec-07,-122.404869,37.799224,135,Resident,-1,Construction,13,1,0,,,,,,,133,12,,,RH-3,40-X,3,"RYNERSON OBRIEN ARCHITECTURE, INC",JACK McGUIRE,510-452-9152,JACK McGUIRE 510-452-9152,"OAKLAND, CA 94612",1512 FRANKLIN STREET
150054,1020 Broadway ,Northeast,PL Filed,28-Sep-06,6,"Proposed project would involve a three-lot subdivision and the new construction of three two-unit buildings, one on each newly subdivided lot. The buildings would total approximately 19,000 sq. ft., 10 parking spaces, and would be approximately 40 feet in",,Residential,RH-2,361,0,0,0,0,0,0,0,2006.1202,,3-Dec-07,,40-X,RH-2,3-Dec-07,-122.413904,37.797123,149,Resident,0,Planning Filed,2,6,0,0,0,0,0,0,0,150,54,,,RH-2,40-X,3,"Wysteria, LLC",Steve Kendrick,415-440-8166,Steve Kendrick 415-440-8166,San Francisco CA 94104,580 California Street
165021,235 Broadway ,Northeast,BP Filed,16-May-11,75,"Broadway/Sansome Family Housing: 100% affordable 50-du residential mid-rise bldg with 5,000-sf retail on former Fwy parcel, 50-70' deep lot entire south side of Broadway between Sansome and Battery Streets, replacing surface parking and portion Stevens Al",ERECT A FIVE STORY RESIDENTIAL & COMMERCIAL BUILDING,Commercial,C-2,826,5000,,,,,5000,,2008.0797,2.01105E+11,17-Jun-10,16-May-11,65-A,C-2,17-Jun-10,-122.401464,37.79841,156,Mixres,-1,BP Filed,5,75,5000,,,,,5000,,165,21,0,-25,C-2,65-A,3,Chinatown CDC,Kim Piechota,929-0712,Kim Piechota 929-0712,"San Francisco, CA 94109",1515 Vallejo St
165022,717 Battery St,Northeast,BP Filed,1-Dec-08,0,"Two story penthouse addition to three-story office building, for office use, new three-story bldg of 9,000-gsf office over retail; 24,870-sf additions to historic Musto Bldg.","ALTERNATION TO EXISTING BUILD, NEW 2 STORY VERTICAL ADDITION ON THE EXISTING BUILD, 3 STORY HORIZONT",Commercial,C-2,826,59700,56700,,,,3000,,2007.146,2.00812E+11,18-Feb-09,1-Dec-08,65-A,C-2,1-Dec-08,-122.401084,37.797868,157,MIPS,0,BP Filed,6,0,27870,,,24870,,3000,,165,22,,,C-2,65-A,3,,Sean Murphy,415.602.8128,Sean Murphy 415.602.8128,"San Angelino, CA 94960",17 Southview Terrace
238002,300 California St,Downtown,PL Filed,19-Dec-07,0,"VERTICAL ADDITION OF FOUR STORIES OF OFFICE USE, WITH NO CHANGE TO THE EXISTING OFFICE, RETAIL AND PARKING USES.",,Commercial,C-3-O,945,195200,195200,,,,,,2007.1248,,19-Dec-07,,400-S,C-3-O,19-Dec-07,-122.400114,37.79333,169,MIPS,0,Planning Filed,2,0,61600,,,61600,,,,238,2,,,C-3-O,400-S,3,Law Office of Tracy,Tracy Zill,415 676 8035,Tracy Zill 415 676 8035,"San Francisco, CA  94115","3042 Jackson, Suite 4"
250001,1401 California St,Northeast,PL Filed,20-Oct-08,95,"Demolish Cala Foods and loading dock and construct 6-8-story, 95-unit residential mixed-use building, 31,000-sf retail, and 105 parking, 246,500-sf total. LEED Gold.",,Mixed Use,NCD,334,31000,,,,,31000,,2008.07,,13-Jun-08,,65-A,POLK,13-Jun-08,-122.417554,37.790856,173,Mixres,0,Planning Filed,5,95,-19056,0,0,0,0,-19056,0,250,1,,,POLK,65-A,3,Prado Group,Lisa Congdon,395.0880x303,Lisa Congdon 395.0880x303,"San Francisco, CA 94108","150 Post Street, #320"
254080,1001 California St,Northeast,BP ISSUED,12-Apr-10,15,,"CONVERT AND RENOVATE THE EXTG PARTIAL BASEMENT, 1ST AND 2ND FLOOR LEVEL COMMERCIAL SPACE INTO 2 RESI",Residential,RM-4,761,0,,,,,,,,2.00809E+11,,25-Sep-08,65-A,RM-4,25-Sep-08,-122.410883,37.791748,176,Resident,-1,BP Approved/Issued/Re-Instated,11,2,0,,,,,,,254,80,,,RM-4,65-A,3,,,,,,
258033,500 Pine St,Downtown,PL APPROVED,15-Mar-01,0,"On a vacant 13,800-sq.-ft. site, construction of a five-story, 61-ft. high office building w/ 11,220 sq. ft. of ground floor retail, 45,610 sq. ft. of office space and one subsurface level of parking w/ 39 spaces, and under the basement parking level woul",,Commercial,C-3-O,785,56830,45610,0,0,0,11220,0,2000.539,,29-Nov-00,,300-S,C-3-O,29-Nov-00,-122.404641,37.791701,179,MIPS,-1,PL Approved,3,,56830,0,0,45610,0,11220,0,258,33,29,10,C-3-O,300-S,3,Russ Building Partnership,Thomas Hart,772-7147,Thomas Hart 772-7147,S.F.  94104,"555 California St., 49th Fl."
269028,350 Bush St,Downtown,BP Filed,7-Aug-07,0,"Demolition of buildings, except for the Mining Exchange Bldg. at 350 Bush St., which would be converted to retail use.  Then new construction of a 19-story office bldg. w/ 20,400 sq. ft. of retail space in two galleria levels, 344,540 sq. ft. of office sp",ERECT 20 STORIES 3 BASEMENTS OFFICE BLDG.,Commercial,C-3-O,789,347300,340000,0,0,0,7300,0,2000.541,2.00708E+11,10-Jan-01,,250-S,C-3-O,10-Jan-01,-122.403221,37.790996,191,MIPS,-1,BP Filed,3,0,347300,0,0,340000,0,7300,0,269,26,135,135,C-3-O,250-S,3,Russ Building Partnership,Thomas Hart,772-7147,Thomas Hart 772-7147,S.F.  94104,"555 California St., 49th Fl."
274008,850 Bush St,Northeast,BP REINSTATED,10-Apr-08,23,,CONSTRUCT 7 FLOORS OF RESIDENTIAL USE ABOVE EXIST. COMMERCIAL BLDG AND RECONFIGURE EXIST. GROUND FLOOR TO INCLUDE ENTIRE LOBBY COMMERCIAL AND RESIDENTIAL,Mixed Use,RC-4,333,0,0,0,0,0,0,0,,2.00512E+11,,30-Dec-05,65-A,RC-4,30-Dec-05,-122.411288,37.789991,193,Resident,-1,BP Approved/Issued/Re-Instated,8,23,0,0,0,0,0,0,0,274,8,,,RC-4,65-A,3,,,,,,
279011,1080 Sutter St,Downtown,PL Approved,28-May-09,35,"The project site is current vacant and used as a 20-space parking lot. The proposed project would construct 35 dwelling units and 1,339 sq. ft. of ground floor commercial space, and 13 parking spaces. The new structure would be approximately 51,950 sq. ft",,Mixed Use,RC-4,322,1339,0,0,0,0,1339,0,2006.0431,,30-Apr-09,,130-E,RC-4,30-Apr-09,-122.418078,37.788156,195,Mixres,-1,PL Approved,5,35,1339,0,0,0,0,1339,0,279,11,13,-4361,RC-4,130-E,3,"299 Valencia Street, LLC",Sean Sullivan,415.621.2155,Sean Sullivan 415.621.2155,San Francisco CA 94102,459 Fulton Street
281003,832 Sutter St,Downtown,PL Filed,24-Aug-08,27,The proposal is to construct a mixed-use building with no parking on an existing surface parking lot.  ,,Mixed Use,RC-4,734,1176,,,,,1176,,2007.0392,,15-May-07,,80-A,RC-4,15-May-07,-122.414151,37.788653,197,Mixres,0,Planning Filed,3,27,1176,,,,,1176,,281,3,,,RC-4,80-A,3,Reuben & Junius LLP,Amy Tsai,415-567-9000,Amy Tsai 415-567-9000,"San Francisco, CA  94104","1 Bush Street, Suite 600"
287013,300 Grant Ave.,Downtown,PL Filed,1-Jun-11,45,"Extension of entitlements for previously approved project (Case No. 2004.1245EKVX) to demolish 272 and 292 Sutter Street containing 35,600-gsf retail and construct a 12-story, 113,526-gsf residential mixed-use structure in K-M-M-S Conservation District wi",,Commercial,C-3-R,932,16000,,,,,16000,,2011.0567,,1-Jun-11,,80-130-F,C-3-R,1-Jun-11,-122.405341,37.789703,209,Mixres,0,Planning Filed,5,45,-19600,,,,,-19600,,287,13,25,,C-3-R,80-130-F,3,Madison Marquette,Cedric Young,415-277-6840,Cedric Young 415-277-6840,"San Francisco, CA 94133","909 Montgomery Street, Suite 200"
293002,153 Kearny St,Downtown,PL Approved,13-Apr-06,51,"Conversion of 40,000 sf of office space (6 floors) to 51 residential units within the C-3-O district.",CONVERT EXTG OFFICE TO RESIDENTIAL CONDOMINIUMS. EXTG RETAIL WILL REMAIN ON GROUND FLOOR. ASSOCIATED BLDG SERVICES WILL REMAIN  AT BASEMNT AND 2ND FLOOR.,Commercial,C-3-O,933,0,0,0,0,0,0,0,2005.0946,2.00603E+11,5-Oct-05,28-Mar-06,80-130-F,C-3-O,5-Oct-05,-122.403947,37.789457,212,Resident,-1,PL Approved,5,51,-40000,0,0,-40000,0,0,0,293,2,,,C-3-O,80-130-F,3,Reuben & Junius,Tuija Catalano,415-567-9000,Tuija Catalano 415-567-9000,"San Francisco, CA  94104","1 Bush Street, Suite 600"
297009,693 Sutter St,Downtown,CONSTRUCTION,15-Jun-11,17,,"Revision to previous approved permits, 2008/0429/0902, 2007/1224/1222, 2005/0824/1157, 2004/0917/449",Commercial,C-3-G,736,0,0,0,0,0,0,0,,2.00912E+11,,24-Dec-09,80-130-F,C-3-G,24-Dec-09,-122.411594,37.788708,216,Resident,-1,Construction,13,1,-12178,0,0,-12178,0,0,0,297,9,,,C-3-G,80-130-F,3,,,,,,
303014,875 Post St,Downtown,BP APPROVED,25-Aug-08,50,9  new construction,Vacant ground floor space to be converted to 4 dwelling units on existin builidng. Work to include remodel at 2nd floor manager's apt to raise floor for headroom below. Convert tourist hotel to sro residental hotel.,Mixed Use,RC-4,707,0,,,,,,0,2007.1056,2.00712E+11,,31-Dec-07,80-T,RC-4,31-Dec-07,-122.416104,37.787177,223,Resident,-1,BP Approved/Issued/Re-Instated,9,4,-15764,,,,,,-15764,303,14,,,RC-4,80-T,6,,,,,,
310002,49 Kearny St,Downtown,BP APPROVED,17-Mar-11,7,,convert office use to residential unit floors 2-8 also repair stairs and elevetor.,Commercial,C-3-O,934,0,0,0,0,0,0,0,,2.00603E+11,,3-Mar-06,80-130-F,C-3-O,3-Mar-06,-122.4037,37.788497,229,Resident,-1,BP Approved/Issued/Re-Instated,9,7,-8630,0,0,-8630,0,0,0,310,2,,,C-3-O,80-130-F,3,,,,,,
317005,436 Ofarrell St,Downtown,BP Filed,5-Aug-08,9,Conversion of nine offices into nine residential units.  One on-site BMR unit will be provided on-site.  All work will occur within the existing building.  Conditional Use Authorization required for reduction of off-street parking requirements in NOMARSUD,CONVERTING OF NINE OFFICES TO NINE RESIDENTIAL UNITS,Mixed Use,RC-4,711,0,0,,,,,,2009.0258,2.00808E+11,1-Apr-09,5-Aug-08,80-130-T,RC-4,5-Aug-08,-122.411993,37.786031,241,Resident,0,BP Filed,6,9,-9709,,,-9709,0,0,0,317,5,,,RC-4,80-130-T,6,Occidental Express,Henry Karnilowicz,415-621-7533,Henry Karnilowicz 415-621-7533,"San Francisco, CA 94103",1019 Howard Street
