,BP_date,address,apn,best_date,best_stat,comp_date,con_date,dbi_permit,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,units,unitsnet,x,y
15575,,628 IVY ST,0805034,2015-04-02,BP FILED,,,201504022691.0,2015-04-02,2015-04-02,2015-04-02,2015-04-02,BP FILED,"('2015-04-02', '2015-04-02', '2015-04-02', '2015-04-02')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,3.0,1.0,37.7767767196,-122.428597
4596,2008-08-13,264 DORE ST,3525046,2008-08-13,BP ISSUED,,,200712069799,2007-12-06 08:00:00,2008-08-13,2007-12-06,2008-08-13,BP ISSUED,"('2008-08-13', '2008-08-13', '2008-08-13', '2008-08-13', '2008-08-13', '2008-08-13', '2008-08-13')",,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",3,2013,Building Permit Approved,0.0,0.0,37.771249600000004,-122.4097059
13540,2012-11-26,200 COLEMAN ST,4591C098,2016-01-07,CONSTRUCTION,01/01/2016,2014-06-23,200912223674.0,2009-12-22,2012-11-26,2009-12-22,2016-01-07,CONSTRUCTION,"('2012-11-26', '2012-11-26', '2012-11-26', '2014-06-23', '2014-09-23', '2015-03-19', '2015-06-08', '2015-07-08', '2015-08-25', '2016-01-07')",2201.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,12.0,12.0,37.7276478876,-122.36890925200001
6687,2012-03-13,35 LLOYD ST,1260035,2013-07-23,CONSTRUCTION,04/01/2014,2012-11-20,201005122282,2010-03-02 08:00:00,2012-03-13,2010-03-02,2013-07-23,CONSTRUCTION,"('2012-03-13', '2012-03-13', '2012-03-13', '2012-11-20', '2013-03-26', '2013-06-17', '2013-07-23', '2013-07-23', '2013-07-23')",1490.0,"('BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2014,Under Construction,2.0,2.0,37.769646,-122.435672
15003,,2065 QUESADA AV,5335034,2015-05-19,BP FILED,,,201505196638.0,2015-05-19,2015-05-19,2015-05-19,2015-05-19,BP FILED,"('2015-05-19', '2015-05-19', '2015-05-19', '2015-05-19')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,1.0,37.7369959532,-122.398435
4256,2012-03-30,590 35TH AV,1510025,2013-04-05,CONSTRUCTION,07/01/2013,2012-11-08,200910280037,2009-10-28 07:00:00,2012-03-30,2009-10-28,2013-04-05,CONSTRUCTION,"('2012-03-30', '2012-06-01', '2012-06-01', '2012-11-08', '2013-04-05', '2013-04-05')",1341.0,"('BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2013,Under Construction,2.0,1.0,37.777906,-122.49504099999999
14985,,200 - 214 06TH ST,3731001,2016-03-10,CONSTRUCTION,04/01/2016,2015-11-03,201211295086.0,2011-02-09,2015-11-03,2011-02-09,2016-03-10,CONSTRUCTION,"('2015-11-03', '2016-03-10')",1878.0,"('CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,67.0,67.0,37.779379390100004,-122.40710200000001
14577,,1075 MARKET ST,3703062,2015-11-13,PL APPROVED,,,201405286908.0,2014-02-12,2014-02-12,2014-02-12,2015-11-13,PL APPROVED,"('2014-02-12', '2014-02-12', '2014-02-12', '2014-02-12', '2014-02-12', '2014-02-12', '2014-02-12', '2014-02-12', '2015-11-13')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL APPROVED')",1,2016,Proposed,90.0,90.0,37.7806442145,-122.411615
8598,2013-06-05,15 WEST PORTAL AV,2979A029,2014-08-06,CONSTRUCTION,10/01/2014,2013-09-04,201302250889,2013-02-25,2013-02-25,2013-02-25,2014-08-06,CONSTRUCTION,"('2013-02-25', '2013-06-05', '2013-09-04', '2013-10-25', '2014-01-07', '2014-05-07', '2014-08-06')",583.0,"('BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2014,Under Construction,0.0,0.0,37.740559000000005,-122.465753
15619,2016-04-01,700 36TH AV,1609021F,2016-04-01,BP APPROVED,,,200809262781.0,2008-09-26,2008-09-26,2008-09-26,2016-04-01,BP APPROVED,"('2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2016-04-01')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED')",1,2016,Building Permit Approved,6.0,6.0,37.7755402871,-122.49601100000001
15028,,2138 FOLSOM ST,3574008,2011-02-18,BP FILED,,,201102180558.0,2011-02-18,2011-02-18,2011-02-18,2011-02-18,BP FILED,"('2011-02-18', '2011-02-18', '2011-02-18', '2011-02-18', '2011-02-18', '2011-02-18', '2011-02-18', '2011-02-18', '2011-02-18', '2011-02-18', '2011-02-18', '2011-02-18', '2011-02-18', '2011-02-18', '2011-02-18', '2011-02-18', '2011-02-18')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,1.0,37.7630742862,-122.415444
10295,,2227 33RD AV,2316001,2014-10-08,BP FILED,,,201410088357,2014-10-08,2014-10-08,,2014-10-08,BP FILED,"('2014-10-08',)",,"('BP FILED',)",1,2015,Proposed,2.0,1.0,37.7455294886,-122.49124491299999
8136,,451 34TH AV,1466009,2009-07-16,PL APPROVED,,,,2008-07-24 07:00:00,2009-07-16,2008-07-24,2009-07-16,PL APPROVED,"('2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16', '2009-07-16')",,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",3,2014,Proposed,2.0,1.0,37.7805803,-122.494605
6842,2012-07-23,1717 17TH ST,3980007,2014-03-28,CONSTRUCTION,04/01/2014,2012-10-11,201202154236,2012-02-15,2012-02-15,2012-02-15,2014-03-28,CONSTRUCTION,"('2012-02-15', '2012-07-23', '2012-10-11', '2012-11-20', '2013-04-09', '2013-06-06', '2013-08-28', '2013-12-23', '2014-03-28')",776.0,"('BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2014,Under Construction,20.0,20.0,37.764748499999996,-122.4007389
14844,2015-03-30,1524 OCEAN AV,3196006,2015-03-30,BP REINSTATED,,,201410148838.0,2014-10-14,2015-03-30,2014-10-14,2015-03-30,BP REINSTATED,"('2015-03-30', '2015-03-30', '2015-03-30', '2015-03-30', '2015-03-30', '2015-03-30')",,"('BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED')",1,2016,Building Permit Approved,3.0,3.0,37.7246572059,-122.458707
14682,,1290 SHAFTER AV,4787012A,2015-11-20,BP FILED,,,201511203280.0,2015-11-20,2015-11-20,2015-11-20,2015-11-20,BP FILED,"('2015-11-20', '2015-11-20')",,"('BP FILED', 'BP FILED')",1,2016,Proposed,2.0,1.0,37.72791956,-122.38476299999999
15638,,740 WASHINGTON ST,0194009,2014-09-26,PL FILED,,,,2007-02-28,2007-02-28,2014-09-26,2014-09-26,PL FILED,"('2007-02-28', '2007-02-28', '2007-02-28', '2014-09-26', '2014-09-26', '2014-09-26', '2014-09-26', '2014-09-26', '2014-09-26', '2014-09-26')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",1,2016,Proposed,24.0,23.0,37.7954261459,-122.405875
14680,2011-03-03,128 ELSIE ST,5618011,2015-05-22,BP ISSUED,,,200909237457.0,2009-09-23 07:00:00,2011-03-03,2009-09-23,2015-05-22,BP ISSUED,"('2011-03-03', '2011-03-03', '2011-03-03', '2011-03-03', '2011-03-03', '2011-03-03', '2011-03-03', '2011-03-03', '2011-03-03', '2011-03-03', '2011-03-03', '2011-03-03', '2015-05-22', '2015-05-22', '2015-05-22', '2015-05-22', '2015-05-22')",,"('BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",1,2016,Building Permit Approved,1.0,1.0,37.7425784611,-122.418058
15791,,TRINITY PLAZA PHASE IV,3702308,2015-11-20,BP FILED,,,201511203265.0,2012-09-06,2015-07-14,2002-11-21,2015-11-20,BP FILED,"('2015-07-14', '2015-11-20', '2015-11-20')",,"('PL APPROVED', 'PL APPROVED', 'BP FILED')",1,2016,Proposed,501.0,501.0,37.778440935300004,-122.41347900000001
14983,,2 VESTA ST,5403001,2015-09-23,BP FILED,,,201509237900.0,2015-09-23,2015-09-23,2015-09-23,2015-09-23,BP FILED,"('2015-09-23', '2015-09-23', '2015-09-23')",,"('BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,2.0,1.0,37.7312411623,-122.40037
10758,,834 44TH AV,1686033,2006-06-29,CONSTRUCTION,04/01/2015,2006-06-29,200412161565,2004-12-16,2006-06-29,,2006-06-29,CONSTRUCTION,"('2006-06-29', '2006-06-29')",3758.0,"('CONSTRUCTION', 'CONSTRUCTION')",1,2015,Under Construction,1.0,1.0,37.772800012800005,-122.504299628
12578,2009-06-09,476 LINDEN ST,0818020,2015-06-18,CONSTRUCTION,10/01/2015,2015-03-20,200703126040.0,2007-03-12 07:00:00,2009-06-09,2007-03-12,2015-06-18,CONSTRUCTION,"('2009-06-09', '2012-06-25', '2012-08-30', '2012-08-30', '2012-08-30', '2012-08-30', '2012-08-30', '2012-08-30', '2012-08-30', '2012-08-30', '2012-08-30', '2015-03-20', '2015-06-05', '2015-06-18', '2015-06-18')",3124.0,"('BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2015,Under Construction,2.0,2.0,37.776264419,-122.42576719799999
10983,2013-07-22,1415 MISSION ST,3510001,2015-07-09,CONSTRUCTION,07/01/2015,2014-09-17,200810315586,2008-10-31,2008-10-31,2009-08-27,2015-07-09,CONSTRUCTION,"('2008-10-31', '2008-10-31', '2008-10-31', '2008-10-31', '2008-10-31', '2008-10-31', '2013-07-22', '2013-07-22', '2013-07-22', '2013-07-22', '2014-09-17', '2015-04-01', '2015-05-19', '2015-07-09')",2434.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2015,Under Construction,121.0,121.0,37.7749076317,-122.415919822
14626,,1174 - 1178 FOLSOM ST,3730023,2015-08-26,BP FILED,,,201508265383.0,2013-07-29,2013-07-29,2013-07-29,2015-08-26,BP FILED,"('2013-07-29', '2013-07-29', '2015-08-26')",,"('PL FILED', 'PL FILED', 'BP FILED')",1,2016,Proposed,42.0,42.0,37.7757141161,-122.40974299999999
15627,,718 17TH AV,1659041,2014-11-04,BP FILED,,,201411040618.0,2014-11-04,2014-11-04,2014-11-04,2014-11-04,BP FILED,"('2014-11-04', '2014-11-04', '2014-11-04', '2014-11-04', '2014-11-04', '2014-11-04')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,2.0,1.0,37.7744245788,-122.475399
14615,2014-05-20,1150 SOUTH VAN NESS AV,3637010,2014-05-20,BP APPROVED,,,201307252822.0,2013-07-25,2013-07-25,2013-07-25,2014-05-20,BP APPROVED,"('2013-07-25', '2013-07-25', '2013-07-25', '2014-05-20', '2014-05-20', '2014-05-20', '2014-05-20', '2014-05-20', '2014-05-20', '2014-05-20', '2014-05-20')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED')",1,2016,Building Permit Approved,3.0,1.0,37.7547084793,-122.41684
4619,2012-10-24,2652 HARRISON ST,3639002,2013-06-21,CONSTRUCTION,10/01/2013,2013-04-19,201111038222,2010-05-06 07:00:00,2011-11-03,2010-05-06,2013-06-21,CONSTRUCTION,"('2011-11-03', '2011-11-03', '2012-10-24', '2012-10-24', '2013-04-19', '2013-06-21', '2013-06-21')",1243.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2013,Under Construction,20.0,20.0,37.755107,-122.412477
12127,2015-03-02,923 FOLSOM STREET,3753106,2015-09-29,CONSTRUCTION,10/01/2015,2015-09-29,201311202410,2013-05-23,2013-05-23,2013-05-23,2015-09-29,CONSTRUCTION,"('2013-05-23', '2013-05-23', '2013-11-20', '2013-11-20', '2013-11-20', '2013-11-20', '2015-03-02', '2015-05-12', '2015-05-12', '2015-09-29')",861.0,"('PL FILED', 'PL FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",3,2015,Under Construction,115.0,115.0,37.7796093041,-122.40338078100001
14870,2016-03-08,1560 DOLORES ST,6618003,2016-03-08,BP ISSUED,,,201410159002.0,2014-10-15,2014-10-15,2014-10-15,2016-03-08,BP ISSUED,"('2014-10-15', '2014-10-15', '2014-10-15', '2014-10-15', '2014-10-15', '2016-03-08')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED')",1,2016,Building Permit Approved,2.0,1.0,37.7443508669,-122.42481599999999
15445,,475 MINNA ST,3725068,2015-04-02,PL FILED,,,,2014-09-17,2015-04-02,2014-09-17,2015-04-02,PL FILED,"('2015-04-02', '2015-04-02', '2015-04-02', '2015-04-02')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",1,2016,Proposed,30.0,30.0,37.7809225482,-122.40739199999999
13778,,746 CAROLINA ST,4096005,2010-03-22,CONSTRUCTION,01/01/2016,2010-03-22,200506074411.0,2005-06-07 07:00:00,2010-03-22,2005-06-07,2010-03-22,CONSTRUCTION,"('2010-03-22', '2010-03-22', '2010-03-22', '2010-03-22', '2010-03-22', '2010-03-22', '2010-03-22', '2010-03-22', '2010-03-22', '2010-03-22', '2010-03-22', '2010-03-22', '2010-03-22', '2010-03-22', '2010-03-22')",3859.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,2.0,2.0,37.7591940246,-122.400404243
12005,,1555 & 1601 IRVING STREET - WOODSID,1771041,2015-05-06,BP FILED,,,201505065565,2015-05-06,2015-05-06,2015-05-21,2015-05-06,BP FILED,"('2015-05-06',)",,"('BP FILED',)",2,2015,Proposed,4.0,0.0,37.7634315967,-122.47474796700001
8469,2014-02-05,2882 - 2890 GEARY BLVD,1069045,2014-02-05,BP ISSUED,,,201106027305,2011-06-02,2011-06-02,2011-06-02,2014-02-05,BP ISSUED,"('2011-06-02', '2011-06-02', '2011-06-02', '2011-06-02', '2011-06-02', '2011-06-02', '2011-06-02', '2014-02-05', '2014-02-05', '2014-02-05')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",3,2014,Building Permit Approved,7.0,2.0,37.7822933,-122.44996529999999
14906,,1660 MCALLISTER ST,1156013,2015-01-26,BP FILED,,,201501266647.0,2015-01-26,2015-01-26,2015-01-26,2015-01-26,BP FILED,"('2015-01-26', '2015-01-26', '2015-01-26', '2015-01-26', '2015-01-26')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,0.0,0.0,37.777952962,-122.43937
15192,,2909 BUSH ST,1055021,2014-01-20,PL APPROVED,,,,2013-02-05,2013-02-05,2013-02-05,2014-01-20,PL APPROVED,"('2013-02-05', '2013-02-05', '2013-02-05', '2014-01-20', '2014-01-20', '2014-01-20', '2014-01-20', '2014-01-20', '2014-01-20', '2014-01-20', '2014-01-20', '2014-01-20', '2014-01-20')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",1,2016,Proposed,2.0,1.0,37.785079024299996,-122.445523
15370,,4064 24TH ST,3656019,2016-03-29,BP FILED,,,201603293285.0,2016-03-29,2016-03-29,2016-03-29,2016-03-29,BP FILED,"('2016-03-29',)",,"('BP FILED',)",1,2016,Proposed,4.0,3.0,37.7515861794,-122.43330300000001
14045,2013-04-03,18 VALLEY ST,6616010,2015-12-16,BP ISSUED,,,201106037362.0,2011-06-03,2011-06-03,2011-06-03,2015-12-16,BP ISSUED,"('2011-06-03', '2011-06-03', '2011-06-03', '2011-06-03', '2013-04-03', '2013-04-03', '2013-04-03', '2013-04-03', '2013-04-03', '2013-04-03', '2013-04-03', '2013-04-03', '2013-04-03', '2013-04-03', '2013-04-03', '2015-12-16')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",4,2015,Building Permit Approved,2.0,1.0,37.7449851016,-122.422750589
15196,2015-09-21,2851 FILBERT ST,0948018,2015-09-21,BP ISSUED,,,201205251254.0,2010-08-23,2010-08-23,2010-08-23,2015-09-21,BP ISSUED,"('2010-08-23', '2010-08-23', '2010-08-23', '2010-08-23', '2010-08-23', '2010-08-23', '2010-08-23', '2010-08-23', '2010-08-23', '2010-08-23', '2010-08-23', '2010-08-23', '2010-08-23', '2010-08-23', '2015-09-21', '2015-09-21', '2015-09-21')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",1,2016,Building Permit Approved,2.0,1.0,37.7963837285,-122.44636200000001
14876,,1599 DOLORES ST,6617018,2016-02-22,BP FILED,,,201602220209.0,2016-02-22,2016-02-22,2016-02-22,2016-02-22,BP FILED,"('2016-02-22',)",,"('BP FILED',)",1,2016,Proposed,3.0,1.0,37.743984585999996,-122.42401799999999
14984,,2031 20TH AV,2140004B,2015-04-09,BP FILED,,,201504093248.0,2015-04-09,2015-04-09,2015-04-09,2015-04-09,BP FILED,"('2015-04-09', '2015-04-09', '2015-04-09', '2015-04-09')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,2.0,1.0,37.7498245911,-122.47756799999999
14809,,458 12TH AV,1533029,2016-01-14,BP FILED,,,201601147151.0,2016-01-14,2016-01-14,2016-01-14,2016-01-14,BP FILED,"('2016-01-14',)",,"('BP FILED',)",1,2016,Proposed,3.0,1.0,37.7795785346,-122.47029199999999
4827,,1461 SUNNYDALE AV,6356063,2005-07-05,BP FILED,,,200507056773,2005-07-05,2005-07-05,2005-07-05,2005-07-05,BP FILED,"('2005-07-05', '2005-07-05', '2005-07-05')",,"('BP FILED', 'BP FILED', 'BP FILED')",3,2013,Proposed,3.0,3.0,37.711727,-122.41583
14986,,200 BRIGHT ST,7091025,2014-07-31,PL APPROVED,,,,2013-10-04,2013-10-04,2013-10-04,2014-07-31,PL APPROVED,"('2013-10-04', '2013-10-04', '2013-10-04', '2014-07-31', '2014-07-31', '2014-07-31', '2014-07-31', '2014-07-31', '2014-07-31', '2014-07-31')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",1,2016,Proposed,2.0,1.0,37.714549069499995,-122.463356
9341,2010-08-11,251 ARKANSAS ST,4004024,2014-05-29,CONSTRUCTION,01/01/2015,2013-11-20,200905208827,2009-05-20 07:00:00,2010-08-11,2009-12-23,2014-05-29,CONSTRUCTION,"('2010-08-11', '2010-08-11', '2010-08-11', '2010-08-11', '2013-03-06', '2013-03-06', '2013-03-06', '2013-11-20', '2013-11-20', '2014-05-29', '2014-05-29', '2014-05-29')",2051.0,"('BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2014,Under Construction,3.0,2.0,37.763095,-122.398348
4860,,142 BROAD ST,7107016,2005-04-14,BP FILED,,,200504140010,2005-04-14,2005-04-14,2005-04-14,2005-04-14,BP FILED,"('2005-04-14', '2005-04-14', '2005-04-14')",,"('BP FILED', 'BP FILED', 'BP FILED')",3,2013,Proposed,2.0,2.0,37.713319,-122.457393
