,BP_date,address,apn,best_date,best_stat,con_date,dbi_permit,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,unitsnet,x,y
15027,2015-10-02,2130 SANTIAGO ST,2317016G,2016-01-27,CONSTRUCTION,2016-01-27,,2015-06-19,2015-06-19,2015-06-19,2016-01-27,CONSTRUCTION,"('2015-06-19', '2015-10-02', '2015-10-02', '2016-01-27')",222.0,"('BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",1,2016,Under Construction,1.0,37.7445234765,-122.49039499999999
15677,,807 FRANKLIN ST,0744002,2015-06-23,PL FILED,,,2014-04-08,2014-04-08,2014-04-08,2015-06-23,PL FILED,"('2014-04-08', '2014-04-08', '2015-06-23', '2015-06-23', '2015-06-23', '2015-06-23')",441.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",1,2016,Proposed,49.0,37.7821201275,-122.422711
10480,2012-01-13,346 22ND AV,1453033,2014-09-05,CONSTRUCTION,2013-11-12,,2005-05-27 07:00:00,2012-01-13,,2014-09-05,CONSTRUCTION,"('2012-01-13', '2012-01-13', '2012-01-13', '2012-01-13', '2012-01-13', '2012-01-13', '2012-01-13', '2013-11-12', '2014-01-24', '2014-01-24', '2014-09-05', '2014-09-05', '2014-09-05')",966.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2015,Under Construction,1.0,37.7812831562,-122.481267588
15716,2015-05-28,896 DE HARO ST,4095018,2015-05-28,BP ISSUED,,,2012-04-24,2012-04-24,2012-04-24,2015-05-28,BP ISSUED,"('2012-04-24', '2012-04-24', '2012-04-24', '2012-04-24', '2012-04-24', '2012-04-24', '2012-04-24', '2012-04-24', '2012-04-24', '2012-04-24', '2012-04-24', '2015-05-28', '2015-05-28', '2015-05-28', '2015-05-28', '2015-05-28')",1129.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",1,2016,Building Permit Approved,2.0,37.7583534723,-122.40125900000001
5347,,2151 GREEN ST,0557019,2013-01-15,CONSTRUCTION,2011-12-16,200702134062,2007-02-13 08:00:00,2011-12-16,2007-02-13,2013-01-15,CONSTRUCTION,"('2011-12-16', '2012-06-25', '2012-09-06', '2013-01-15', '2013-01-15', '2013-01-15')",396.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2013,Under Construction,1.0,37.79596,-122.43460300000001
14957,,1834 SUTTER ST,0676009,2014-10-16,PL APPROVED,,,2013-04-05,2013-04-05,2013-04-05,2014-10-16,PL APPROVED,"('2013-04-05', '2013-04-05', '2013-04-05', '2013-04-05', '2013-04-05', '2014-10-16', '2014-10-16', '2014-10-16', '2014-10-16', '2014-10-16')",559.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",1,2016,Proposed,0.0,37.7867022345,-122.430675
9468,,1513 YORK ST,5513012,2014-07-09,BP FILED,,,2014-07-09,2014-07-09,,2014-07-09,BP FILED,"('2014-07-09', '2014-07-09')",0.0,"('BP FILED', 'BP FILED')",4,2014,Proposed,2.0,37.748208,-122.40783200000001
15295,,345 06TH ST,3753081,2016-02-17,BP FILED,,,2005-09-15 07:00:00,2009-04-02,2014-05-01,2016-02-17,BP FILED,"('2009-04-02', '2009-04-02', '2012-07-16', '2012-07-16', '2012-07-16', '2012-07-16', '2012-07-16', '2012-07-16', '2012-07-16', '2014-05-01', '2014-05-01', '2014-05-01', '2014-05-01', '2014-05-01', '2014-05-01', '2014-05-01', '2016-02-17')",2512.0,"('PL APPROVED', 'PL APPROVED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'BP FILED')",1,2016,Proposed,104.0,37.7781649016,-122.404677
10996,,2171 THIRD ST,4045003,2013-06-21,BP FILED,,,2013-06-21,2013-06-21,2013-09-10,2013-06-21,BP FILED,"('2013-06-21', '2013-06-21', '2013-06-21', '2013-06-21', '2013-06-21', '2013-06-21', '2013-06-21', '2013-06-21', '2013-06-21')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2015,Proposed,109.0,37.7623405114,-122.388255218
8410,,140 JASPER PL,0103032,2010-03-04,PL FILED,,,2010-03-04,2010-03-04,2010-03-04,2010-03-04,PL FILED,"('2010-03-04', '2010-03-04', '2010-03-04', '2010-03-04', '2010-03-04', '2010-03-04', '2010-03-04', '2010-03-04', '2010-03-04')",0.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",3,2014,Proposed,2.0,37.801133,-122.40834699999999
15552,2015-11-02,600 SOUTH VAN NESS AV,3575070,2016-04-04,CONSTRUCTION,2016-04-04,,2013-09-10,2013-09-10,2013-09-10,2016-04-04,CONSTRUCTION,"('2013-09-10', '2013-09-10', '2013-09-10', '2013-09-10', '2013-09-10', '2013-09-10', '2014-02-13', '2014-02-13', '2014-02-13', '2015-11-02', '2016-04-04')",937.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'BP ISSUED', 'CONSTRUCTION')",1,2016,Under Construction,27.0,37.7633181465,-122.41761699999999
9180,2014-07-25,2347 LOMBARD ST,0512026,2014-07-25,BP ISSUED,,,2014-01-29,2014-01-29,,2014-07-25,BP ISSUED,"('2014-01-29', '2014-07-25', '2014-07-25')",177.0,"('BP FILED', 'BP ISSUED', 'BP ISSUED')",4,2014,Building Permit Approved,21.0,37.799434000000005,-122.44003300000001
14567,,1036 WISCONSIN ST,4219004,2009-10-06,PL APPROVED,,,2008-07-24 07:00:00,2009-10-06,2008-07-24,2009-10-06,PL APPROVED,"('2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06')",0.0,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",1,2016,Proposed,1.0,37.7541910458,-122.39895600000001
8082,2012-08-09,235 BROADWAY,0165021,2014-09-19,CONSTRUCTION,2013-09-13,201105166063,2010-06-17 07:00:00,2011-05-16,2010-06-17,2014-09-19,CONSTRUCTION,"('2011-05-16', '2011-05-16', '2012-08-09', '2012-08-09', '2012-08-09', '2013-09-13', '2014-01-02', '2014-03-26', '2014-09-19')",1222.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2014,Under Construction,75.0,37.7985075,-122.4016044
1533,,2151 GREEN ST,557019,2012-09-06,CONSTRUCTION,2012-09-06,2.00702E+11,2007-02-13,2012-09-06,2007-02-13,2012-09-06,CONSTRUCTION,"('2012-09-06',)",0.0,"('CONSTRUCTION',)",3,2012,Under Construction,1.0,-122.43444099999999,37.79614
14921,,1715 26TH AV,2023004,2015-03-19,BP FILED,,,2015-03-19,2015-03-19,2015-03-19,2015-03-19,BP FILED,"('2015-03-19', '2015-03-19', '2015-03-19', '2015-03-19', '2015-03-19')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.7554179313,-122.484343
14022,,4335 LINCOLN WY,1706045,2011-05-06,PL FILED,,,2010-08-27 07:00:00,2011-05-06,2010-08-27,2011-05-06,PL FILED,"('2011-05-06', '2011-05-06', '2011-05-06', '2011-05-06', '2011-05-06', '2011-05-06', '2011-05-06', '2011-05-06', '2011-05-06', '2011-05-06', '2011-05-06', '2011-05-06', '2011-05-06', '2011-05-06', '2011-05-06', '2011-05-06')",0.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",4,2015,Proposed,1.0,37.763971461,-122.504652589
15264,,33 DEARBORN ST,3577053,2015-07-10,BP FILED,,,2015-06-10,2015-07-10,2015-06-10,2015-07-10,BP FILED,"('2015-07-10', '2015-07-10', '2015-07-10', '2015-07-10')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,3.0,37.762699417,-122.422774
14960,,1850 BRYANT ST,3970006,2015-12-14,PL FILED,,,2015-09-16,2015-12-14,2015-09-16,2015-12-14,PL FILED,"('2015-12-14', '2015-12-14')",0.0,"('PL FILED', 'PL FILED')",1,2016,Proposed,0.0,37.7637350377,-122.410794
9602,2014-03-26,75 MARS ST,2653016,2014-04-23,BP ISSUED,,,2010-06-15 07:00:00,2012-03-08,2010-09-01,2014-04-23,BP ISSUED,"('2012-03-08', '2012-03-08', '2012-03-08', '2012-03-08', '2012-03-08', '2012-03-08', '2012-03-08', '2013-10-18', '2014-03-26', '2014-04-23', '2014-04-23', '2014-04-23')",776.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",4,2014,Building Permit Approved,1.0,37.761012,-122.444483
13950,,2838 JENNINGS ST,4912002,2007-11-16,CONSTRUCTION,2007-11-16,,2006-12-01 08:00:00,2007-11-16,2006-12-01,2007-11-16,CONSTRUCTION,"('2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16')",0.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,1.0,37.7223463355,-122.393185768
14799,2014-09-12,250 4TH ST,3733008,2014-09-12,BP ISSUED,,,2011-01-14,2011-01-14,2011-01-14,2014-09-12,BP ISSUED,"('2011-01-14', '2011-01-14', '2011-01-14', '2011-01-14', '2011-01-14', '2013-06-28', '2013-06-28', '2013-06-28', '2013-06-28', '2013-06-28', '2014-09-12', '2014-09-12', '2014-09-12', '2014-09-12', '2014-09-12', '2014-09-12', '2014-09-12')",1337.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",1,2016,Building Permit Approved,0.0,37.7823601346,-122.402096
13659,,384 HOLLADAY AV,5577002,2009-08-19,PL APPROVED,,,2008-04-03 07:00:00,2009-08-19,2008-04-03,2009-08-19,PL APPROVED,"('2009-08-19', '2009-08-19', '2009-08-19', '2009-08-19', '2009-08-19', '2009-08-19', '2009-08-19', '2009-08-19', '2009-08-19', '2009-08-19', '2009-08-19', '2009-08-19', '2009-08-19', '2009-08-19', '2009-08-19')",0.0,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",4,2015,Proposed,3.0,37.7435916079,-122.406669091
15474,,502 07TH ST,3780001,2015-05-29,BP FILED,,,2015-05-29,2015-05-29,2015-05-29,2015-05-29,BP FILED,"('2015-05-29', '2015-05-29', '2015-05-29', '2015-05-29')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,16.0,37.773993893400004,-122.40478799999998
15156,,265 SHIPLEY ST,3753089,2014-08-15,PL FILED,,,2014-08-15,2014-08-15,2014-08-15,2014-08-15,PL FILED,"('2014-08-15', '2014-08-15')",0.0,"('PL FILED', 'PL FILED')",1,2016,Proposed,9.0,37.778648296,-122.404063
15526,,609 HAIGHT ST,0861034,2016-03-11,CONSTRUCTION,2016-03-11,,2015-06-29,2015-06-29,2015-06-29,2016-03-11,CONSTRUCTION,"('2015-06-29', '2015-06-29', '2015-06-29', '2016-03-11')",256.0,"('BP FILED', 'BP FILED', 'BP FILED', 'CONSTRUCTION')",1,2016,Under Construction,1.0,37.7716235232,-122.432397
14954,2015-04-08,1823 TURK ST,1153020,2016-03-22,CONSTRUCTION,2015-10-29,,2013-10-11,2013-10-11,2013-10-11,2016-03-22,CONSTRUCTION,"('2013-10-11', '2013-10-11', '2013-10-11', '2013-10-11', '2013-10-11', '2015-04-08', '2015-04-08', '2015-10-29', '2016-01-14', '2016-03-22')",893.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,7.0,37.7792856504,-122.43938100000001
2898,2012-10-23,28 PRECITA AV,5518023,2012-11-15,CONSTRUCTION,2012-11-15,201206203050,2012-06-20,2012-06-20,2012-06-20,2012-11-15,CONSTRUCTION,"('2012-06-20', '2012-10-23', '2012-11-15')",148.0,"('BP FILED', 'BP ISSUED', 'CONSTRUCTION')",4,2012,Under Construction,1.0,37.746472,-122.418489
15341,,3701 NORIEGA ST,2081001,2015-09-20,PL FILED,,,2015-01-30,2015-09-20,2015-01-30,2015-09-20,PL FILED,"('2015-09-20', '2015-09-20', '2015-09-20')",0.0,"('PL FILED', 'PL FILED', 'PL FILED')",1,2016,Proposed,14.0,37.7528079195,-122.503573
14937,,1767 BEACH ST,0443A017,2015-01-30,BP FILED,,,2015-01-30,2015-01-30,2015-01-30,2015-01-30,BP FILED,"('2015-01-30', '2015-01-30', '2015-01-30', '2015-01-30', '2015-01-30')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.8040033973,-122.43835700000001
878,2011-11-22,701 PORTOLA DR,2901C001,2012-06-28,CONSTRUCTION,2012-06-28,,2011-01-28 08:00:00,2011-11-22,2011-01-28 00:00:00,2012-06-28,CONSTRUCTION,"('2011-11-22', '2012-06-28')",219.0,"('BP ISSUED', 'CONSTRUCTION')",2,2012,Under Construction,0.0,37.744306,-122.45326000000001
15745,,949 NATOMA ST,3510028,2014-10-10,BP FILED,,,2014-10-10,2014-10-10,2014-10-10,2014-10-10,BP FILED,"('2014-10-10', '2014-10-10', '2014-10-10', '2014-10-10', '2014-10-10', '2014-10-10')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,6.0,37.7739085676,-122.41535800000001
14759,,1455 11TH AV,1842011,2014-07-07,BP FILED,,,2014-07-07,2014-07-07,2014-07-07,2014-07-07,BP FILED,"('2014-07-07', '2014-07-07', '2014-07-07', '2014-07-07', '2014-07-07', '2014-07-07', '2014-07-07')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.7610326757,-122.468577
14968,2015-12-03,189 COUNTRY CLUB DR,7277044,2016-01-28,BP ISSUED,,,2015-01-13,2015-01-13,2015-01-13,2016-01-28,BP ISSUED,"('2015-01-13', '2015-01-13', '2015-01-13', '2015-12-03', '2016-01-28')",380.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED')",1,2016,Building Permit Approved,1.0,37.7314199081,-122.49679099999999
2193,2007-05-03,6534 03RD ST,5475007,2007-05-03,BP ISSUED,,2.00507E+11,2005-07-06 07:00:00,2007-05-03,2005-07-06,2007-05-03,BP ISSUED,"('2007-05-03', '2007-05-03', '2007-05-03')",0.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED')",3,2012,Building Permit Approved,2.0,-122.397354,37.719316
15683,,815 TENNESSEE ST,4059001A,2014-05-05,BP FILED,,,2013-12-06,2014-05-05,2013-12-06,2014-05-05,BP FILED,"('2014-05-05', '2014-05-05')",0.0,"('BP FILED', 'BP FILED')",1,2016,Proposed,69.0,37.7612283764,-122.389251
14840,,1513 YORK ST,5513011,2014-07-09,BP FILED,,,2014-07-09,2014-07-09,2014-07-09,2014-07-09,BP FILED,"('2014-07-09', '2014-07-09', '2014-07-09', '2014-07-09', '2014-07-09', '2014-07-09', '2014-07-09')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,2.0,37.7481252875,-122.40686699999999
15275,,3324 19TH ST,3590014,2014-02-19,BP FILED,,,2014-02-19,2014-02-19,2014-02-19,2014-02-19,BP FILED,"('2014-02-19', '2014-02-19', '2014-02-19', '2014-02-19', '2014-02-19', '2014-02-19', '2014-02-19', '2014-02-19', '2014-02-19')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,6.0,37.7605405642,-122.41766399999999
15079,,2306 CASTRO ST,7537002,2015-10-23,BP FILED,,,2015-10-23,2015-10-23,2015-10-23,2015-10-23,BP FILED,"('2015-10-23', '2015-10-23')",0.0,"('BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.7430845892,-122.433577
964,,205 FRANKLIN ST,0816003,2012-06-21,CONSTRUCTION,2012-02-28,,2010-04-13 07:00:00,2012-02-28,2010-04-13 00:00:00,2012-06-21,CONSTRUCTION,"('2012-02-28', '2012-06-21')",114.0,"('CONSTRUCTION', 'CONSTRUCTION')",2,2012,Under Construction,0.0,37.776253000000004,-122.42127099999999
15699,,859 VALLEJO ST,0148022,2015-11-18,PL FILED,,,2015-11-18,2015-11-18,2015-11-18,2015-11-18,PL FILED,"('2015-11-18', '2015-11-18')",0.0,"('PL FILED', 'PL FILED')",1,2016,Proposed,4.0,37.7980862788,-122.411305
5247,,103 POLK ST,0811003,2013-07-05,BP FILED,,201307051190,2013-07-05,2013-07-05,2013-07-05,2013-07-05,BP FILED,"('2013-07-05',)",0.0,"('BP FILED',)",3,2013,Proposed,162.0,37.777555,-122.41798700000001
15820,,5 SHIPLEY ST / 935 FOLSOM ST / 77 FALMOUTH ST,3753314,2016-01-27,CONSTRUCTION,2016-01-27,,2014-03-21,2016-01-27,2014-03-21,2016-01-27,CONSTRUCTION,"('2016-01-27',)",0.0,"('CONSTRUCTION',)",1,2016,Under Construction,15.0,37.7792278321,-122.403857
15067,2015-02-12,2251 GREENWICH ST,0515031,2015-07-08,BP REINSTATED,,,2013-12-20,2013-12-20,2013-12-20,2015-07-08,BP REINSTATED,"('2013-12-20', '2013-12-20', '2013-12-20', '2015-02-12', '2015-07-08', '2015-07-08', '2015-07-08', '2015-07-08')",565.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED')",1,2016,Building Permit Approved,1.0,37.798581848299996,-122.43672
15653,,763 05TH AV,1648012,2014-09-02,BP FILED,,,2014-09-02,2014-09-02,2014-09-02,2014-09-02,BP FILED,"('2014-09-02', '2014-09-02', '2014-09-02', '2014-09-02', '2014-09-02', '2014-09-02', '2014-09-02')",0.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,1.0,37.7744101056,-122.46306100000001
5536,2010-12-09,1266 09TH AV,1742043,2013-11-14,CONSTRUCTION,2012-07-09,200912183521,2008-06-26 07:00:00,2010-12-09,2008-06-26,2013-11-14,CONSTRUCTION,"('2010-12-09', '2012-07-09', '2012-10-17', '2012-12-12', '2013-03-15', '2013-06-17', '2013-09-27', '2013-11-14')",1071.0,"('BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2013,Under Construction,15.0,37.7646751,-122.46625130000001
15149,2011-04-15,262 MADISON ST,5943050,2014-01-08,CONSTRUCTION,2014-01-08,,2007-11-07,2011-04-15,2007-11-07,2014-01-08,CONSTRUCTION,"('2011-04-15', '2011-04-15', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08', '2014-01-08')",999.0,"('BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2016,Under Construction,1.0,37.7257550666,-122.422817
13675,2014-09-03,946 RHODE ISLAND ST,4094024,2016-01-04,CONSTRUCTION,2014-12-23,,2012-11-02,2012-11-02,2012-11-02,2016-01-04,CONSTRUCTION,"('2012-11-02', '2012-11-02', '2012-11-02', '2012-11-02', '2012-11-02', '2012-11-02', '2013-08-08', '2014-09-03', '2014-12-23', '2015-05-28', '2015-05-28', '2015-05-28', '2016-01-04')",1158.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'PL FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,3.0,37.7579163686,-122.402224872
8427,2011-07-13,727 29TH AV,1615003,2013-05-13,CONSTRUCTION,2012-11-30,201004150330,2010-04-15 07:00:00,2011-07-13,2010-04-15,2013-05-13,CONSTRUCTION,"('2011-07-13', '2011-07-13', '2011-07-13', '2012-11-30', '2012-11-30', '2013-05-13', '2013-05-13', '2013-05-13', '2013-05-13', '2013-05-13', '2013-05-13')",670.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2014,Under Construction,1.0,37.775539,-122.48903100000001
