,BP_date,address,apn,best_date,best_stat,comp_date,con_date,dbi_permit,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,units,unitsnet,x,y,zoning,zoning_simplified
16362,,377 BAY ST,0041039,2007-12-17,BP FILED,,,200712170659,2007-12-17,2007-12-17,2007-12-17,2007-12-17,BP FILED,"('2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17', '2007-12-17')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,2.0,2.0,-122.41314799999999,37.805497480300005,C-2,C-2
2179,,1196 COLUMBUS AV,0043007,2015-10-16,PL FILED,,,,2014-12-17,2015-10-16,2014-12-17,2015-10-16,PL FILED,"('2015-10-16', '2015-10-16', '2015-10-16', '2015-10-16', '2015-10-16', '2015-10-16', '2015-10-16')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",2,2017,Proposed,0.0,0.0,,,,
9360,2006-07-12,850 FRANCISCO ST,0045005,2006-07-12,BP ISSUED,,,200101260712,2001-01-26,2006-07-12,2001-01-26,2006-07-12,BP ISSUED,"('2006-07-12', '2006-07-12', '2006-07-12', '2006-07-12', '2006-07-12', '2006-07-12', '2006-07-12', '2006-07-12')",,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",2,2011,Building Permit Approved,1.0,1.0,-122.419303,37.80415,RH-1(D),RH-1(D)
2306,,819 FRANCISCO ST,0048018,2016-09-08,BP FILED,,,201609087075,2016-09-08,2016-09-08,2016-09-08,2016-09-08,BP FILED,"('2016-09-08', '2016-09-08', '2016-09-08', '2016-09-08')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,1.0,1.0,,,,
30155,,1789 MONTGOMERY ST,0056006,2005-10-27,BP FILED,,,200510276753,2003-11-05,2005-10-27,2003-11-05,2005-10-27,BP FILED,"('2005-10-27',)",,"('BP FILED',)",3,2009,Proposed,51.0,51.0,-122.40547099999999,37.80547,C-2,C-2
30742,,1620 MONTGOMERY ST,0059003,2005-01-27,PL FILED,,,,2005-01-27,2005-01-27,2005-01-27,2005-01-27,PL FILED,"('2005-01-27',)",,"('PL FILED',)",3,2009,Proposed,95.0,95.0,-122.404859,37.804097,C-2,C-2
20940,2009-01-27,1016 LOMBARD ST,0068008,2011-01-18,CONSTRUCTION,01/01/2011,2010-06-17,200803106722,2008-03-10,2009-01-27,2008-03-10,2011-01-18,CONSTRUCTION,"('2009-01-27', '2009-01-27', '2009-01-27', '2010-06-17', '2010-08-23', '2011-01-18')",1027.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2010,Under Construction,3.0,2.0,-122.41848799999998,37.802318,RH-3,RH-3
2074,2010-08-05,2626 LARKIN ST,0069011,2015-07-16,CONSTRUCTION,07/01/2017,2011-12-14,200809262740,2008-09-26,2008-09-26,2008-09-26,2015-07-16,CONSTRUCTION,"('2008-09-26', '2008-09-26', '2008-09-26', '2008-09-26', '2010-08-05', '2010-11-19', '2010-11-19', '2010-11-19', '2010-11-19', '2011-12-14', '2011-12-14', '2012-04-18', '2012-10-09', '2012-11-15', '2013-01-23', '2013-06-21', '2013-06-21', '2013-06-21', '2014-02-18', '2014-04-30', '2014-07-09', '2014-12-15', '2015-04-15', '2015-07-16', '2015-07-16', '2015-07-16', '2015-07-16', '2015-07-16', '2015-07-16', '2015-07-16', '2015-07-16', '2015-07-16')",3200.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,2.0,1.0,,,RH-3,RH-3
1295,,1001 CHESTNUT ST,0069020,2016-11-14,CONSTRUCTION,07/01/2017,2016-06-10,201407080708,2013-06-18,2013-06-18,2013-06-18,2016-11-14,CONSTRUCTION,"('2013-06-18', '2013-06-18', '2013-06-18', '2013-06-18', '2013-06-18', '2013-06-18', '2013-06-18', '2013-06-18', '2013-06-18', '2013-06-18', '2013-06-18', '2013-06-18', '2016-06-10', '2016-06-10', '2016-11-14', '2016-11-14', '2016-11-14')",1474.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,2.0,1.0,,,RH-3,RH-3
1503,2017-05-05,2127 TAYLOR ST,0073003,2017-05-05,BP ISSUED,,,201609278931,2016-09-27,2016-09-27,2016-09-27,2017-05-05,BP ISSUED,"('2016-09-27', '2016-09-27', '2016-09-27', '2017-05-05')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED')",2,2017,Building Permit Approved,3.0,1.0,,,,
29781,,853 LOMBARD ST,0073018B,2016-09-29,CONSTRUCTION,01/01/2017,2016-06-08,201602250467,2016-02-25,2016-02-25,2016-02-25,2016-09-29,CONSTRUCTION,"('2016-02-25', '2016-06-08', '2016-09-29', '2016-09-29')",311.0,"('BP FILED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2016,Under Construction,3.0,1.0,-122.41551727299999,37.802227504899996,RM-1,RM-1
15839,,835 LOMBARD ST,0073020,2009-02-18,BP FILED,,,200902182284,2009-02-18,2009-02-18,2009-02-18,2009-02-18,BP FILED,"('2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18', '2009-02-18')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",1,2016,Proposed,3.0,1.0,-122.415252,37.802261279899994,RM-1,RM-1
12140,2012-03-29,701 LOMBARD ST,0074001,2014-02-03,CONSTRUCTION,01/01/2016,2013-11-19,201109235397,2008-08-11,2008-08-11,2008-08-11,2014-02-03,CONSTRUCTION,"('2008-08-11', '2008-08-11', '2008-08-11', '2008-08-11', '2008-08-11', '2008-08-11', '2008-08-11', '2008-08-11', '2011-09-23', '2011-09-23', '2012-03-29', '2012-03-29', '2012-03-29', '2012-03-29', '2012-03-29', '2012-03-29', '2012-03-29', '2013-11-19', '2014-02-03', '2014-02-03', '2014-02-03', '2014-02-03', '2014-02-03', '2014-02-03', '2014-02-03', '2014-02-03')",2699.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,0.0,0.0,-122.41321005799999,37.8026191316,NCD,NCD
44,,950 GOUGH ST,0074410,2015-05-11,PL FILED,,,,2015-05-11,2015-05-11,,2015-05-11,PL FILED,"('2015-05-11',)",,"('PL FILED',)",1,2015,Proposed,100.0,100.0,-122.423765945,37.7822225671,RM-4,RM-4
1537,2013-12-09,30 EDITH ST,0077004,2016-05-25,BP APPROVED,,,201505055389,2008-12-31,2008-12-31,2008-12-31,2016-05-25,BP APPROVED,"('2008-12-31', '2008-12-31', '2008-12-31', '2008-12-31', '2008-12-31', '2008-12-31', '2008-12-31', '2008-12-31', '2008-12-31', '2008-12-31', '2008-12-31', '2008-12-31', '2008-12-31', '2008-12-31', '2008-12-31', '2008-12-31', '2008-12-31', '2013-12-09', '2013-12-09', '2014-06-06', '2014-06-06', '2014-06-06', '2014-06-06', '2014-06-06', '2014-06-06', '2014-06-06', '2014-06-06', '2014-06-06', '2014-06-06', '2014-06-06', '2014-06-06', '2016-05-25')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP APPROVED')",2,2017,Building Permit Approved,3.0,2.0,,,,
2435,2016-11-23,1 TELEGRAPH HILL BL,0086012,2016-11-23,BP ISSUED,,,201604255639,2016-04-25,2016-04-25,2016-04-25,2016-11-23,BP ISSUED,"('2016-04-25', '2016-04-25', '2016-11-23', '2016-11-23', '2016-11-23')",,"('BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",2,2017,Building Permit Approved,0.0,0.0,,,,
8627,2011-03-21,1729 STOCKTON ST,0089007,2011-07-20,CONSTRUCTION,10/01/2011,2011-05-19,201012297565,2007-11-07,2008-05-29,2007-11-07,2011-07-20,CONSTRUCTION,"('2008-05-29', '2008-05-29', '2008-05-29', '2008-05-29', '2008-05-29', '2010-12-29', '2011-03-21', '2011-05-19', '2011-07-20')",1424.0,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",3,2011,Under Construction,3.0,2.0,-122.40958700000002,37.801662,NO BEACH,NO BEACH
1845,,2138 JONES ST,0092027,2015-04-08,BP FILED,,,201504083155,2015-04-08,2015-04-08,2015-04-08,2015-04-08,BP FILED,"('2015-04-08', '2015-04-08', '2015-04-08', '2015-04-08', '2015-04-08', '2015-04-08', '2015-04-08', '2015-04-08', '2015-04-08')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,6.0,1.0,,,,
2493,2015-11-12,1281 GREENWICH ST,0095024,2017-09-06,CONSTRUCTION,2017-09-06,2017-09-06,201410179272,2014-10-17,2014-10-17,2014-10-17,2017-09-06,CONSTRUCTION,"('2014-10-17', '2014-10-17', '2014-10-17', '2015-11-12', '2015-11-12', '2015-11-12', '2015-11-12', '2015-11-12', '2015-11-12', '2017-09-06')",1055.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION')",2,2017,Under Construction,1.0,-1.0,,,,
1388,,2125 HYDE ST,0095031,2017-05-23,PL APPROVED,,,,2016-11-16,2016-11-16,2016-11-16,2017-05-23,PL APPROVED,"('2016-11-16', '2016-11-16', '2017-05-23')",,"('PL FILED', 'PL FILED', 'PL APPROVED')",2,2017,Proposed,11.0,3.0,,,,
12777,,1209 FILBERT ST,0096001,2011-02-04,CONSTRUCTION,04/01/2011,2009-08-07,200706123741,2007-06-12,2009-08-07,2007-06-12,2011-02-04,CONSTRUCTION,"('2009-08-07', '2009-08-07', '2009-08-07', '2010-06-09', '2010-08-23', '2010-08-23', '2011-02-04')",1389.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2011,Under Construction,1.0,1.0,-122.419494,37.799966,RH-3,RH-3
1336,,870 UNION ST,0100020,2015-11-13,BP FILED,,,201511132623,2015-11-13,2015-11-13,2015-11-13,2015-11-13,BP FILED,"('2015-11-13', '2015-11-13', '2015-11-13', '2015-11-13', '2015-11-13', '2015-11-13', '2015-11-13')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,1.0,1.0,,,,
1133,2015-02-24,1731 - 1741 POWELL ST,0101004,2017-09-25,CONSTRUCTION,07/01/2017,2016-09-29,200908124639,2008-12-15,2015-02-24,2008-12-15,2017-09-25,CONSTRUCTION,"('2015-02-24', '2015-02-24', '2015-02-24', '2016-09-29', '2016-12-06', '2017-03-22', '2017-09-25')",3120.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,19.0,18.0,,,NO BEACH,NO BEACH
5449,2012-11-02,1741 POWELL ST,0101004,2015-02-24,BP ISSUED,,,200908124639,2008-06-04,2009-08-12,2008-06-04,2015-02-24,BP ISSUED,"('2009-08-12', '2009-08-12', '2009-08-12', '2009-08-12', '2009-08-12', '2009-08-12', '2009-08-12', '2009-08-12', '2009-08-12', '2009-08-12', '2009-08-12', '2009-08-12', '2009-08-12', '2012-11-02', '2012-11-02', '2012-11-02', '2012-11-02', '2012-11-02', '2012-11-02', '2012-11-02', '2012-11-02', '2015-02-24', '2015-02-24', '2015-02-24', '2015-02-24')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",3,2015,Building Permit Approved,19.0,18.0,-122.411287504,37.8006826245,NCD,NCD
1982,,146  JASPER PL,0103021,2013-06-24,PL FILED,,,,2013-06-24,2013-06-24,2013-06-24,2013-06-24,PL FILED,"('2013-06-24', '2013-06-24', '2013-06-24', '2013-06-24', '2013-06-24', '2013-06-24', '2013-06-24')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",2,2017,Proposed,4.0,2.0,,,RM-2,RM-2
5661,,146  JASPER PLACE,0103021,2013-06-24,PL FILED,,,,2013-06-24,2013-06-24,2013-06-24,2013-06-24,PL FILED,"('2013-06-24', '2013-06-24', '2013-06-24', '2013-06-24')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",3,2015,Proposed,4.0,2.0,-122.408790537,37.8012555802,RM-2,RM-2
17417,,146 JASPER PLACE,0103021,2013-06-24,PL FILED,,,,2013-06-24,2013-06-24,2013-06-24,2013-06-24,PL FILED,"('2013-06-24', '2013-06-24', '2013-06-24', '2013-06-24', '2013-06-24', '2013-06-24')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",3,2014,Proposed,4.0,2.0,-122.40850309999999,37.8011907,RM-2,RM-2
